time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2025-10-01T00:00,2.0,1.7,0.3,0.0,0.0,,80,60.0,0.0,,8.8,2.55,3.4,286,100,3520.0,1,0.422
2025-10-01T01:00,0.9,0.9,0.0,0.0,0.0,,53,30.0,0.0,,8.6,2.59,6.1,289,100,4600.0,1,0.415
2025-10-01T02:00,0.5,0.5,0.0,0.0,0.0,,53,10.0,0.0,,9.1,1.87,5.8,304,100,5880.0,1,0.409
2025-10-01T03:00,0.4,0.3,0.1,0.0,0.0,,51,10.0,0.0,,9.8,1.45,4.7,311,100,7500.0,1,0.405
2025-10-01T04:00,0.1,0.1,0.0,0.0,0.0,,51,0.0,0.0,,10.5,0.86,4.3,306,100,20360.0,1,0.4
2025-10-01T05:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,0.0,,11.3,1.59,4.4,298,100,25060.0,1,0.395
2025-10-01T06:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,11.2,1.27,4.6,281,100,25060.0,1,0.394
2025-10-01T07:00,0.0,0.0,0.0,0.0,0.0,,2,0.0,,,12.2,0.46,3.9,319,79,25340.0,1,0.39
2025-10-01T08:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,13.4,0.81,3.8,330,84,25340.0,1,0.385
2025-10-01T09:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,13.2,0.2,3.7,270,1,25340.0,1,0.381
2025-10-01T10:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,12.7,0.05,2.3,270,0,25340.0,1,0.378
2025-10-01T11:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,10.6,0.21,0.9,166,0,25080.0,0,0.377
2025-10-01T12:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,10.2,0.16,1.3,108,0,25080.0,0,0.391
2025-10-01T13:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,9.1,0.61,1.4,145,0,24720.0,0,0.389
2025-10-01T14:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,8.7,0.22,1.5,153,0,24720.0,0,0.387
2025-10-01T15:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,8.0,0.14,0.7,225,1,24720.0,0,0.385
2025-10-01T16:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,6.7,0.5,1.3,276,5,10180.0,0,0.383
2025-10-01T17:00,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,5.6,0.65,1.6,247,8,2120.0,0,0.382
2025-10-01T18:00,0.0,0.0,0.0,0.0,0.0,,1,0.0,,,4.8,1.2,2.3,270,23,880.0,0,0.381
2025-10-01T19:00,0.0,0.0,0.0,0.0,0.0,,1,0.0,,,4.7,1.15,3.1,252,30,1320.0,0,0.379
2025-10-01T20:00,0.0,0.0,0.0,0.0,0.0,,1,0.0,,,4.5,1.19,2.7,255,33,1300.0,0,0.378
2025-10-01T21:00,0.0,0.0,0.0,0.0,0.0,,1,0.0,,,4.4,1.59,3.4,283,30,1080.0,0,0.377
2025-10-01T22:00,0.0,0.0,0.0,0.0,0.0,,2,0.0,,,4.1,1.24,3.6,284,69,960.0,0,0.376
2025-10-01T23:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,3.8,1.03,2.9,284,94,1020.0,0,0.375
2025-10-02T00:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,4.7,1.64,3.6,301,89,780.0,1,0.378
2025-10-02T01:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,7.7,1.48,4.2,294,100,20940.0,1,0.376
2025-10-02T02:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,10.3,1.64,5.0,301,99,25100.0,1,0.374
2025-10-02T03:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,12.9,1.66,5.4,303,100,25380.0,1,0.372
2025-10-02T04:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,15.1,1.56,5.2,312,100,25580.0,1,0.368
