time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.0,-0.3,0.85,2.4,50,85,11200.0,1,0.024,0.0,60.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.0,1.9,1.1,2.7,60,100,11200.0,1,0.024,0.0,105.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.0,4.0,1.23,3.7,153,100,11700.0,1,0.024,0.0,140.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.0,4.2,1.15,3.8,182,100,11700.0,1,0.025,0.0,125.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.0,6.6,1.17,3.7,239,100,12760.0,1,0.025,0.0,185.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.0,9.3,0.6,3.6,228,98,12760.0,1,0.025,0.0,265.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.0,11.9,0.86,3.7,144,100,12900.0,1,0.024,0.0,350.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.0,13.2,3.4,5.5,229,100,12900.0,1,0.024,0.0,390.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.0,14.7,5.18,9.5,239,49,13020.0,1,0.025,0.0,400.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.0,13.6,5.45,9.7,248,47,12900.0,1,0.025,0.0,395.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.0,12.2,6.22,11.1,249,0,12900.0,0,0.025,0.0,340.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.0,11.3,5.43,11.1,250,0,12900.0,0,0.025,0.0,310.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.0,10.5,5.14,9.9,251,0,12740.0,0,0.025,0.0,305.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.0,0.0,10.1,5.48,9.9,257,0,12740.0,0,0.025,0.0,300.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.0,0.0,9.3,4.73,9.8,254,0,12740.0,0,0.025,0.0,225.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.0,0.0,8.4,3.69,8.3,237,0,12740.0,0,0.025,0.0,160.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.0,0.0,7.0,3.66,6.6,219,0,12740.0,0,0.025,0.0,130.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.0,0.0,6.7,4.31,7.5,218,0,12740.0,0,0.025,0.0,150.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.0,0.0,0.0,0.0,6.8,4.14,7.7,228,0,11680.0,0,0.025,0.0,170.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.0,0.0,6.7,4.17,7.3,236,0,11680.0,0,0.025,0.0,165.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T20:00,0.0,0.0,0.0,0.0,6.0,3.56,7.2,236,0,11680.0,0,0.025,0.0,135.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T21:00,0.0,0.0,0.0,0.0,4.9,3.06,6.2,244,0,11680.0,0,0.025,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T22:00,0.0,0.0,0.0,0.0,3.8,2.94,5.2,252,0,11660.0,0,0.025,0.0,115.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T23:00,0.0,0.0,0.0,0.0,3.4,3.38,5.7,257,0,11660.0,0,0.025,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T00:00,0.0,0.0,0.0,0.0,3.4,3.86,6.8,266,0,11660.0,1,0.042,0.0,130.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T01:00,0.0,0.0,0.0,0.0,6.0,4.16,7.3,273,0,12720.0,1,0.042,0.0,155.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T02:00,0.0,0.0,0.0,0.0,8.7,2.61,7.4,275,0,12720.0,1,0.042,0.0,160.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T03:00,0.0,0.0,0.0,0.0,12.3,2.19,5.5,223,0,12880.0,1,0.042,0.0,215.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T04:00,0.0,0.0,0.0,0.0,15.5,3.16,7.0,231,0,12980.0,1,0.042,0.0,405.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T05:00,0.0,0.0,0.0,0.0,17.7,3.42,7.8,241,0,12980.0,1,0.042,0.0,490.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T06:00,0.0,0.0,0.0,0.0,19.4,2.65,7.6,226,0,12980.0,1,0.04,0.0,700.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T07:00,0.0,0.0,0.0,0.0,19.9,2.31,6.1,202,0,12980.0,1,0.04,0.0,875.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T08:00,0.0,0.0,0.0,0.0,19.3,2.53,5.4,153,0,12980.0,1,0.04,0.0,705.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T09:00,0.0,0.0,0.0,0.0,17.6,2.77,4.8,174,0,12980.0,1,0.04,0.0,525.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T10:00,0.0,0.0,0.0,0.0,15.5,3.46,6.5,185,0,12860.0,0,0.04,0.0,435.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T11:00,0.0,0.0,0.0,0.0,13.0,2.75,6.0,178,0,12700.0,0,0.04,0.0,240.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T12:00,0.0,0.0,0.0,0.0,10.7,2.21,4.6,176,0,12700.0,0,0.018,0.0,140.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T13:00,0.0,0.0,0.0,0.0,10.9,2.75,4.5,170,0,12700.0,0,0.018,0.0,130.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T14:00,0.0,0.0,0.0,0.0,10.5,3.34,5.7,171,0,12700.0,0,0.018,0.0,130.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T15:00,0.0,0.0,0.0,0.0,10.0,2.75,5.6,182,0,12700.0,0,0.019,0.0,110.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T16:00,0.0,0.0,0.0,0.0,8.3,2.08,4.6,204,0,12680.0,0,0.019,0.0,85.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T17:00,0.0,0.0,0.0,0.0,6.9,1.84,3.3,237,0,11640.0,0,0.019,0.0,60.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T18:00,0.0,0.0,0.0,0.0,5.7,1.7,3.9,268,0,11640.0,0,0.011,0.0,40.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T19:00,0.0,0.0,0.0,0.0,4.2,1.29,2.8,283,0,11120.0,0,0.011,0.0,30.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T20:00,0.0,0.0,0.0,0.0,3.4,0.75,2.3,323,0,11120.0,0,0.011,0.0,15.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T21:00,0.0,0.0,0.0,0.0,4.6,3.5,5.3,44,0,11120.0,0,0.012,0.0,75.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T22:00,0.0,0.0,0.0,0.0,5.1,4.6,7.8,71,0,11620.0,0,0.012,0.0,175.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T23:00,0.0,0.0,0.0,0.0,5.0,5.35,9.2,60,0,11620.0,0,0.012,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T00:00,0.0,0.0,0.0,0.0,4.5,5.82,11.0,60,0,11620.0,1,0.019,0.0,310.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T01:00,0.0,0.0,0.0,0.0,5.8,6.51,12.5,47,0,11620.0,1,0.019,0.0,435.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T02:00,0.0,0.0,0.0,0.0,7.2,5.48,12.5,45,1,11620.0,1,0.019,0.0,525.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T03:00,0.0,0.0,0.0,0.0,8.1,5.59,11.2,44,1,11620.0,1,0.019,0.0,630.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T04:00,0.0,0.0,0.0,0.0,9.1,6.08,12.3,43,1,11620.0,1,0.019,0.0,755.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T05:00,0.0,0.0,0.0,0.0,9.7,6.47,13.1,39,0,11600.0,1,0.019,0.0,835.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T06:00,0.0,0.0,0.0,0.0,9.7,6.98,14.0,42,0,11600.0,1,0.019,0.0,825.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T07:00,0.0,0.0,0.0,0.0,9.2,6.72,14.0,43,0,12660.0,1,0.019,0.0,810.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T08:00,0.0,0.0,0.0,0.0,8.3,6.61,13.4,44,0,12660.0,1,0.019,0.0,765.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T09:00,0.0,0.0,0.0,0.0,7.1,5.98,12.9,43,0,12660.0,1,0.019,0.0,730.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T10:00,0.0,0.0,0.0,0.0,5.8,6.41,11.9,42,0,11600.0,0,0.019,0.0,700.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T11:00,0.0,0.0,0.0,0.0,4.8,6.01,11.9,39,0,11600.0,0,0.019,0.0,705.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T12:00,0.0,0.0,0.0,0.0,4.5,5.92,11.1,41,0,11600.0,0,0.028,0.0,675.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T13:00,0.0,0.0,0.0,0.0,3.7,5.61,10.9,40,0,11600.0,0,0.028,0.0,680.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T14:00,0.0,0.0,0.0,0.0,3.1,5.39,10.4,40,0,11600.0,0,0.028,0.0,690.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T15:00,0.0,0.0,0.0,0.0,2.6,5.46,10.1,41,0,11600.0,0,0.028,0.0,665.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T16:00,0.0,0.0,0.0,0.0,2.0,5.32,10.3,40,0,11600.0,0,0.028,0.0,645.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T17:00,0.0,0.0,0.0,0.0,1.2,4.88,9.8,45,0,11600.0,0,0.028,0.0,590.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.7,4.57,8.9,48,0,11080.0,0,0.028,0.0,515.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.3,4.33,8.3,51,0,11600.0,0,0.028,0.0,505.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T20:00,0.0,0.0,0.0,0.0,-0.3,4.04,7.9,59,0,11600.0,0,0.028,0.0,510.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T21:00,0.0,0.0,0.0,0.0,-0.8,3.89,7.3,62,0,11600.0,0,0.028,0.0,500.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T22:00,0.0,0.0,0.0,0.0,-1.3,4.16,7.5,70,1,11080.0,0,0.028,0.0,490.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T23:00,0.0,0.0,0.0,0.0,-1.7,4.8,8.6,68,22,11080.0,0,0.028,0.0,485.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T00:00,0.0,0.0,0.0,0.0,-1.7,5.23,9.7,65,29,11080.0,1,0.026,0.0,515.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T01:00,0.0,0.0,0.0,0.0,-1.3,5.41,10.2,62,51,10480.0,1,0.026,0.0,545.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T02:00,0.0,0.0,0.0,0.0,-0.4,5.34,10.6,63,98,11080.0,1,0.026,0.0,605.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.6,5.17,10.8,65,100,11080.0,1,0.026,0.0,650.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T04:00,0.0,0.0,0.0,0.0,1.0,4.61,10.6,66,100,11080.0,1,0.026,0.0,675.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T05:00,0.0,0.0,0.0,0.0,1.6,4.27,9.6,63,100,11080.0,1,0.026,0.0,720.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T06:00,0.0,0.0,0.0,0.0,0.8,4.34,9.1,75,100,11080.0,1,0.03,0.0,765.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T07:00,0.0,0.0,0.0,0.0,0.6,4.51,9.1,75,100,10360.0,1,0.03,0.0,735.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T08:00,0.0,0.0,0.0,0.0,0.9,4.37,9.1,74,100,10900.0,1,0.03,0.0,770.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T09:00,0.0,0.0,0.0,0.0,1.3,3.81,8.7,73,100,10820.0,1,0.03,0.0,840.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T10:00,0.0,0.0,0.0,0.0,1.7,3.38,7.3,66,100,11080.0,0,0.03,0.0,885.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T11:00,0.0,0.0,0.0,0.0,0.8,3.89,7.5,44,100,11080.0,0,0.03,0.0,690.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T12:00,0.0,0.0,0.0,0.0,-0.6,3.63,7.8,56,100,8600.0,0,0.032,0.0,510.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T13:00,0.0,0.0,0.0,0.0,-0.5,3.58,6.9,48,100,8660.0,0,0.032,0.0,500.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T14:00,0.0,0.0,0.0,0.0,-0.5,3.54,6.9,43,100,8400.0,0,0.032,0.0,495.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T15:00,0.0,0.0,0.0,0.0,-0.5,3.24,6.7,38,100,6800.0,0,0.033,0.0,490.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T16:00,0.1,0.0,0.0,0.0,-0.5,3.22,6.2,33,100,6020.0,0,0.033,0.0,490.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T17:00,0.1,0.0,0.0,0.0,-0.6,3.87,7.1,36,100,1640.0,0,0.034,0.0,475.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T18:00,0.1,0.0,0.0,0.0,-0.7,3.25,7.3,45,100,5420.0,0,0.043,0.0,465.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T19:00,0.1,0.0,0.0,0.0,-0.9,3.61,7.4,47,100,800.0,0,0.043,0.0,465.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T20:00,0.1,0.0,0.0,0.0,-1.1,3.54,6.7,45,100,1360.0,0,0.044,0.0,475.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T21:00,0.1,0.0,0.0,0.0,-1.2,3.72,7.0,48,100,2620.0,0,0.044,0.0,475.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-17T22:00,0.0,0.0,0.0,0.0,-1.2,3.78,7.1,47,100,2500.0,0,0.044,0.0,485.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T23:00,0.0,0.0,0.0,0.0,-1.2,3.65,7.1,42,100,4180.0,0,0.044,0.0,510.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T00:00,0.0,0.0,0.0,0.0,-1.5,4.04,7.1,42,100,6640.0,1,0.075,0.0,540.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T01:00,0.0,0.0,0.0,0.0,-1.5,4.44,8.5,36,100,3360.0,1,0.075,0.0,560.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T02:00,0.0,0.0,0.0,0.0,-1.2,4.15,8.6,40,100,1800.0,1,0.075,0.0,570.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T03:00,0.0,0.0,0.0,0.0,-0.5,3.8,8.2,39,100,2460.0,1,0.075,0.0,575.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T04:00,0.0,0.0,0.0,0.0,0.0,3.86,7.9,41,100,10660.0,1,0.075,0.0,560.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T05:00,0.0,0.0,0.0,0.0,0.6,3.98,8.2,39,100,11080.0,1,0.076,0.0,635.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T06:00,0.0,0.0,0.0,0.0,0.5,3.75,8.2,44,100,11040.0,1,0.112,0.0,730.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T07:00,0.0,0.0,0.0,0.0,0.5,4.03,8.2,43,100,11080.0,1,0.112,0.0,760.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T08:00,0.0,0.0,0.0,0.0,0.4,4.01,8.1,39,100,11020.0,1,0.112,0.0,810.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T09:00,0.0,0.0,0.0,0.0,0.0,4.31,8.4,46,100,11040.0,1,0.112,0.0,800.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T10:00,0.0,0.0,0.0,0.0,-0.6,4.82,9.0,42,100,10960.0,0,0.112,0.0,765.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T11:00,0.0,0.0,0.0,0.0,-1.1,5.39,10.2,31,100,10980.0,0,0.112,0.0,765.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T12:00,0.0,0.0,0.0,0.0,-1.4,4.91,10.3,30,100,11060.0,0,0.095,0.0,660.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T13:00,0.0,0.0,0.0,0.0,-1.5,4.83,9.3,28,98,11080.0,0,0.095,0.0,660.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T14:00,0.0,0.0,0.0,0.0,-1.6,4.85,9.2,32,100,11040.0,0,0.095,0.0,670.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T15:00,0.0,0.0,0.0,0.0,-1.8,4.71,9.2,31,100,11060.0,0,0.095,0.0,710.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T16:00,0.0,0.0,0.0,0.0,-1.9,5.38,10.2,30,100,10280.0,0,0.095,0.0,755.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
