event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T19:00,2026-01-26T06:00,12,10,0.375,0.6,4.5,0.412,0.0,0.0,79
1,2026-01-29T14:00,2026-01-30T19:00,30,29,0.65,1.5,19.5,0.536,0.0,0.0,115
2,2026-02-04T15:00,2026-02-04T19:00,5,5,0.7,1.2,3.5,0.525,0.547,0.0005,22
3,2026-02-05T18:00,2026-02-06T00:00,7,6,0.414,0.8,2.9,0.511,0.0,0.0,3
4,2026-02-06T04:00,2026-02-06T12:00,9,8,0.7,1.5,6.3,0.606,0.0,0.0002,74
5,2026-02-09T15:00,2026-02-09T15:00,1,1,0.4,0.4,0.4,0.0,0.8,0.0,14
6,2026-02-10T06:00,2026-02-10T06:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,128
7,2026-02-15T15:00,2026-02-16T03:00,13,12,1.023,2.2,13.3,0.756,0.155,0.0015,2
8,2026-02-16T06:00,2026-02-16T08:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,4
9,2026-02-16T13:00,2026-02-16T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,168
10,2026-02-23T14:00,2026-02-23T19:00,6,6,1.133,2.0,6.8,0.603,0.132,0.0013,6
11,2026-02-24T02:00,2026-02-24T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,40
12,2026-02-25T19:00,2026-02-26T15:00,21,20,1.276,3.1,26.8,0.739,0.116,0.0105,45
13,2026-02-28T13:00,2026-02-28T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
14,2026-02-28T21:00,2026-03-01T12:00,16,16,1.144,2.8,18.3,0.611,0.141,0.003,3
15,2026-03-01T16:00,2026-03-01T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
16,2026-03-02T01:00,2026-03-02T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,137
17,2026-03-07T19:00,2026-03-07T20:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,178
18,2026-03-15T07:00,2026-03-15T07:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,7
19,2026-03-15T15:00,2026-03-15T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,15
20,2026-03-16T07:00,2026-03-16T18:00,12,12,1.075,1.6,12.9,0.368,0.178,0.0008,2
21,2026-03-16T21:00,2026-03-17T00:00,4,3,0.375,0.5,1.5,0.4,0.0,0.0,8
22,2026-03-17T09:00,2026-03-17T15:00,7,7,1.243,3.2,8.7,1.027,0.156,0.0025,2
23,2026-03-17T18:00,2026-03-17T20:00,3,2,0.267,0.3,0.8,0.217,0.0,0.0,7
24,2026-03-18T04:00,2026-03-18T10:00,7,7,1.029,2.1,7.2,0.593,0.036,0.0014,46
25,2026-03-20T09:00,2026-03-20T10:00,2,2,0.6,0.9,1.2,0.707,0.278,0.0,72
26,2026-03-23T11:00,2026-03-23T11:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,13
27,2026-03-24T01:00,2026-03-24T01:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,2
28,2026-03-24T04:00,2026-03-24T08:00,5,5,0.7,1.1,3.5,0.452,0.472,0.0,50
29,2026-03-26T11:00,2026-03-26T12:00,2,2,1.1,1.6,2.2,0.643,0.823,0.0,4
30,2026-03-26T17:00,2026-03-26T22:00,6,6,1.0,1.3,6.0,0.219,0.216,0.0008,65
31,2026-03-29T16:00,2026-03-29T23:00,8,8,3.475,6.6,27.8,0.593,0.301,0.005,2
32,2026-03-30T02:00,2026-03-30T03:00,2,2,0.6,0.7,1.2,0.236,0.343,0.0,26
33,2026-03-31T06:00,2026-03-31T10:00,5,5,1.7,2.4,8.5,0.405,0.0,0.0037,8
34,2026-03-31T19:00,2026-03-31T19:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,40
35,2026-04-02T12:00,2026-04-02T12:00,1,1,1.1,1.1,1.1,0.0,0.0,0.0,3
36,2026-04-02T16:00,2026-04-02T18:00,3,3,0.8,1.2,2.4,0.451,0.222,0.0,6
37,2026-04-03T01:00,2026-04-03T12:00,12,11,0.742,1.7,8.9,0.681,0.046,0.0017,122
38,2026-04-08T15:00,2026-04-08T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,10
39,2026-04-09T02:00,2026-04-09T02:00,1,1,1.0,1.0,1.0,0.0,0.8,0.0,4
40,2026-04-09T07:00,2026-04-09T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
41,2026-04-09T13:00,2026-04-09T14:00,2,2,1.65,2.7,3.3,0.9,0.0,0.0,35
42,2026-04-11T02:00,2026-04-11T12:00,11,11,1.409,5.2,15.5,0.987,0.1,0.015,6
43,2026-04-11T19:00,2026-04-11T22:00,4,4,0.7,1.0,2.8,0.421,0.175,0.0,5
44,2026-04-12T04:00,2026-04-12T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,26
45,2026-04-13T07:00,2026-04-13T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
46,2026-04-13T13:00,2026-04-13T20:00,8,8,0.975,2.2,7.8,0.739,0.274,0.004,15
47,2026-04-14T12:00,2026-04-14T14:00,3,2,0.9,2.2,2.7,1.252,0.242,0.0,26
48,2026-04-15T17:00,2026-04-15T18:00,2,2,0.9,1.4,1.8,0.786,0.875,0.0,12
49,2026-04-16T07:00,2026-04-16T10:00,4,4,0.625,0.8,2.5,0.355,0.197,0.0,32
50,2026-04-17T19:00,2026-04-17T19:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,70
51,2026-04-20T18:00,2026-04-20T18:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,4
52,2026-04-20T23:00,2026-04-21T03:00,5,5,0.62,0.9,3.1,0.417,0.0,0.0,3
