time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.0,3.2,1.3,1.2,94,0,13920.0,1,0.189
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,65.0,7.0,0.81,3.0,83,0,15040.0,1,0.189
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,105.0,11.2,0.32,2.9,108,30,16000.0,1,0.189
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,165.0,15.0,0.07,3.0,315,97,18280.0,1,0.188
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,275.0,17.6,0.42,3.3,315,100,18280.0,1,0.187
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,375.0,19.1,0.41,3.3,346,98,18500.0,1,0.186
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,405.0,19.9,0.25,3.2,307,87,18500.0,1,0.182
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,445.0,20.4,0.36,2.7,16,0,18500.0,1,0.181
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,155.0,19.4,0.57,2.4,52,0,18300.0,1,0.18
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.0,14.6,1.53,2.0,71,0,16000.0,1,0.18
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,11.3,1.61,2.3,85,0,15040.0,0,0.18
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,10.2,1.55,2.2,123,0,15040.0,0,0.18
