event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T12:00,2026-01-19T12:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2
1,2026-01-19T15:00,2026-01-19T16:00,2,2,0.0,0.0,0.0,0.0,0.186,0.0,815
2,2026-02-22T16:00,2026-02-22T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,17
3,2026-02-23T10:00,2026-02-23T11:00,2,2,0.35,0.4,0.7,0.202,0.875,0.0,2
4,2026-02-23T14:00,2026-02-23T17:00,4,4,0.375,0.4,1.5,0.133,0.0,0.0,43
5,2026-02-25T13:00,2026-02-25T20:00,8,8,1.712,4.5,13.7,0.811,0.127,0.0001,46
6,2026-02-27T19:00,2026-02-27T23:00,5,4,0.3,0.4,1.5,0.408,0.0,0.0,2
7,2026-02-28T02:00,2026-02-28T16:00,15,14,0.74,1.5,11.1,0.51,0.035,0.0,6
8,2026-02-28T23:00,2026-03-01T11:00,13,12,0.462,0.8,6.0,0.401,0.0,0.0,120
9,2026-03-06T12:00,2026-03-06T12:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,181
10,2026-03-14T02:00,2026-03-14T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
11,2026-03-14T05:00,2026-03-14T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
12,2026-03-14T10:00,2026-03-14T17:00,8,8,0.688,1.2,5.5,0.494,0.0,0.0,57
13,2026-03-17T03:00,2026-03-17T09:00,7,7,0.714,1.2,5.0,0.446,0.0,0.001,299
14,2026-03-29T21:00,2026-03-30T05:00,9,8,0.433,0.8,3.9,0.49,0.0,0.0,211
15,2026-04-08T01:00,2026-04-08T07:00,7,6,1.157,2.9,8.1,0.789,0.409,0.0,2
16,2026-04-08T10:00,2026-04-08T12:00,3,3,5.7,10.5,17.1,0.743,0.71,0.124,168
17,2026-04-15T13:00,2026-04-15T14:00,2,2,0.8,1.0,1.6,0.354,1.0,0.0,2
18,2026-04-15T17:00,2026-04-15T19:00,3,3,0.7,0.8,2.1,0.143,0.5,0.0,83
19,2026-04-19T07:00,2026-04-19T07:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,4
20,2026-04-19T12:00,2026-04-19T23:00,12,10,0.883,3.3,10.6,1.008,0.414,0.0115,25
21,2026-04-21T01:00,2026-04-21T14:00,14,13,1.243,2.9,17.4,0.708,0.0,0.0015,119
22,2026-04-26T14:00,2026-04-26T14:00,1,1,7.0,7.0,7.0,0.0,1.0,0.54,121
23,2026-05-01T16:00,2026-05-01T18:00,3,3,0.833,1.3,2.5,0.604,0.179,0.0008,7
24,2026-05-02T02:00,2026-05-02T04:00,3,3,1.2,1.8,3.6,0.441,0.0,0.001,219
25,2026-05-11T08:00,2026-05-11T08:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,71
26,2026-05-14T08:00,2026-05-14T09:00,2,2,0.4,0.5,0.8,0.354,0.433,0.0,30
27,2026-05-15T16:00,2026-05-15T17:00,2,2,1.25,2.0,2.5,0.849,0.65,0.0013,13
28,2026-05-16T07:00,2026-05-16T20:00,14,12,0.629,2.0,8.8,0.866,0.401,0.0875,2
29,2026-05-16T23:00,2026-05-17T00:00,2,2,3.25,3.7,6.5,0.196,0.857,0.1283,3
30,2026-05-17T04:00,2026-05-17T21:00,18,18,2.222,6.8,40.0,0.813,0.555,0.162,12
31,2026-05-18T10:00,2026-05-18T12:00,3,3,0.7,0.8,2.1,0.143,0.0,0.0,3
32,2026-05-18T16:00,2026-05-18T18:00,3,3,0.5,0.7,1.5,0.4,0.0,0.0,11
33,2026-05-19T06:00,2026-05-20T00:00,19,18,2.174,5.3,41.3,0.752,0.243,0.02,91
34,2026-05-23T20:00,2026-05-24T06:00,11,9,0.627,1.8,6.9,0.856,0.285,0.022,11
35,2026-05-24T18:00,2026-05-24T18:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,4
36,2026-05-24T23:00,2026-05-25T00:00,2,2,0.85,1.0,1.7,0.25,0.0,0.0,2
