event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-12T07:00,2025-10-12T08:00,2,2,0.8,0.9,1.6,0.177,0.111,0.0,5
1,2025-10-12T14:00,2025-10-12T15:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,9
2,2025-10-13T01:00,2025-10-13T04:00,4,4,1.0,1.6,4.0,0.516,0.0,0.0,35
3,2025-10-14T16:00,2025-10-14T16:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
4,2025-10-14T19:00,2025-10-15T05:00,11,9,0.582,1.3,6.4,0.674,0.287,0.0001,35
5,2025-10-16T17:00,2025-10-16T18:00,2,2,1.15,1.8,2.3,0.799,0.8,0.0,6
6,2025-10-17T01:00,2025-10-17T16:00,16,15,3.725,11.1,59.6,0.872,0.024,0.02,184
7,2025-10-25T09:00,2025-10-25T11:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,108
8,2025-10-30T00:00,2025-10-30T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
9,2025-10-30T21:00,2025-10-31T00:00,4,4,5.35,10.4,21.4,0.751,0.998,0.195,163
10,2025-11-06T20:00,2025-11-06T20:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,10
11,2025-11-07T07:00,2025-11-07T16:00,10,10,0.71,1.5,7.1,0.614,0.0,0.0,3
12,2025-11-07T20:00,2025-11-07T21:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,1069
13,2025-12-22T11:00,2025-12-23T01:00,15,12,0.447,0.9,6.7,0.528,0.183,0.0,623
14,2026-01-18T01:00,2026-01-18T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
15,2026-01-18T07:00,2026-01-18T10:00,4,4,0.35,0.4,1.4,0.165,0.0,0.0,26
16,2026-01-19T13:00,2026-01-19T13:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,148
17,2026-01-25T18:00,2026-01-25T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,95
18,2026-01-29T18:00,2026-01-29T20:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,589
19,2026-02-23T10:00,2026-02-23T19:00,10,10,1.06,1.8,10.6,0.502,0.056,0.0,4
20,2026-02-24T00:00,2026-02-24T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,42
21,2026-02-25T19:00,2026-02-25T23:00,5,4,0.76,1.4,3.8,0.649,0.323,0.0001,71
22,2026-02-28T23:00,2026-03-01T22:00,24,24,0.767,1.9,18.4,0.607,0.0,0.0,114
23,2026-03-06T17:00,2026-03-06T18:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,251
24,2026-03-17T06:00,2026-03-17T12:00,7,7,1.2,1.8,8.4,0.433,0.0,0.0,2
25,2026-03-17T15:00,2026-03-17T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,16
26,2026-03-18T08:00,2026-03-18T09:00,2,2,0.4,0.4,0.8,0.0,0.5,0.0,279
27,2026-03-30T01:00,2026-03-30T09:00,9,9,1.089,1.8,9.8,0.391,0.072,0.003,30
28,2026-03-31T16:00,2026-03-31T17:00,2,2,1.55,1.8,3.1,0.228,0.962,0.01,69
29,2026-04-03T15:00,2026-04-03T15:00,1,1,2.4,2.4,2.4,0.0,0.875,0.0,110
30,2026-04-08T06:00,2026-04-08T08:00,3,3,1.2,2.0,3.6,0.667,0.033,0.0,2
31,2026-04-08T11:00,2026-04-08T11:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,2
32,2026-04-08T14:00,2026-04-08T14:00,1,1,1.5,1.5,1.5,0.0,0.8,0.0338,177
33,2026-04-16T00:00,2026-04-16T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
34,2026-04-16T06:00,2026-04-16T06:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0,82
35,2026-04-19T17:00,2026-04-19T23:00,7,7,1.257,2.7,8.8,0.607,0.389,0.0,37
36,2026-04-21T13:00,2026-04-21T19:00,7,7,1.029,1.5,7.2,0.349,0.012,0.0006,118
37,2026-04-26T18:00,2026-04-26T22:00,5,5,5.4,12.8,27.0,1.0,0.948,0.235,126
38,2026-05-02T05:00,2026-05-02T09:00,5,5,0.84,1.5,4.2,0.568,0.0,0.0,109
39,2026-05-06T23:00,2026-05-06T23:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,104
40,2026-05-11T08:00,2026-05-11T09:00,2,2,4.85,6.5,9.7,0.481,1.0,0.445,3
41,2026-05-11T13:00,2026-05-11T13:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,150
42,2026-05-17T20:00,2026-05-18T04:00,9,9,1.467,4.4,13.2,0.81,0.38,0.017,2
43,2026-05-18T07:00,2026-05-19T00:00,18,17,1.833,7.1,33.0,1.035,0.324,0.132,10
44,2026-05-19T11:00,2026-05-19T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
45,2026-05-19T15:00,2026-05-19T23:00,9,8,1.2,2.6,10.8,0.726,0.15,0.002,54
46,2026-05-22T06:00,2026-05-22T09:00,4,4,2.05,4.0,8.2,0.713,0.479,0.0248,40
47,2026-05-24T02:00,2026-05-24T06:00,5,5,1.44,2.4,7.2,0.493,0.373,0.0595,18
48,2026-05-25T01:00,2026-05-25T19:00,19,18,3.032,15.5,57.6,1.163,0.438,0.319,13
49,2026-05-26T09:00,2026-05-26T09:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,274
50,2026-06-06T20:00,2026-06-06T21:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,5
51,2026-06-07T03:00,2026-06-07T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,148
52,2026-06-13T08:00,2026-06-13T09:00,2,2,0.65,0.7,1.3,0.109,0.595,0.0,131
53,2026-06-18T21:00,2026-06-19T06:00,10,10,1.36,4.6,13.6,0.933,0.102,0.018,6
54,2026-06-19T13:00,2026-06-19T16:00,4,4,2.675,6.3,10.7,0.963,0.653,0.0021,36
55,2026-06-21T05:00,2026-06-21T09:00,5,4,0.28,0.4,1.4,0.391,0.067,0.0,8
56,2026-06-21T18:00,2026-06-21T18:00,1,1,1.2,1.2,1.2,0.0,0.333,0.0,183
57,2026-06-29T10:00,2026-06-29T10:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,26
58,2026-06-30T13:00,2026-06-30T17:00,5,5,1.04,2.1,5.2,0.78,0.394,0.0454,2
59,2026-06-30T20:00,2026-06-30T21:00,2,2,3.4,6.1,6.8,1.123,0.951,0.16,9
60,2026-07-01T07:00,2026-07-01T09:00,3,3,0.633,0.9,1.9,0.397,0.231,0.0,21
61,2026-07-02T07:00,2026-07-02T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,2
62,2026-07-02T10:00,2026-07-02T10:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
63,2026-07-02T13:00,2026-07-02T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
64,2026-07-02T19:00,2026-07-02T21:00,3,3,1.667,2.5,5.0,0.624,0.053,0.0806,3
65,2026-07-03T01:00,2026-07-03T02:00,2,2,2.85,5.3,5.7,1.216,0.674,0.56,5
66,2026-07-03T08:00,2026-07-03T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,16
67,2026-07-04T01:00,2026-07-04T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,31
68,2026-07-05T09:00,2026-07-05T09:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,3
69,2026-07-05T13:00,2026-07-05T14:00,2,2,0.5,0.6,1.0,0.283,0.5,0.0,2
70,2026-07-05T17:00,2026-07-05T17:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0485,15
71,2026-07-06T09:00,2026-07-06T10:00,2,2,1.0,1.4,2.0,0.566,0.465,0.0975,2
72,2026-07-06T13:00,2026-07-06T15:00,3,2,0.267,0.4,0.8,0.573,0.25,0.0,2
73,2026-07-06T18:00,2026-07-07T06:00,13,13,3.808,6.8,49.5,0.452,0.605,0.545,22
74,2026-07-08T05:00,2026-07-08T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,15
75,2026-07-08T21:00,2026-07-08T23:00,3,3,1.967,3.7,5.9,0.865,0.559,0.675,3
76,2026-07-09T03:00,2026-07-09T04:00,2,2,0.45,0.5,0.9,0.157,0.5,0.0,2
77,2026-07-09T07:00,2026-07-09T08:00,2,2,0.8,1.2,1.6,0.707,0.791,0.05,30
78,2026-07-10T15:00,2026-07-10T15:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,40
79,2026-07-12T08:00,2026-07-12T14:00,7,6,0.7,1.2,4.9,0.535,0.688,0.006,4
80,2026-07-12T19:00,2026-07-13T10:00,16,16,2.075,8.2,33.2,0.954,0.348,0.1994,27
81,2026-07-14T14:00,2026-07-14T16:00,3,3,2.8,6.9,8.4,1.274,0.628,0.715,13
82,2026-07-15T06:00,2026-07-15T08:00,3,3,3.933,6.2,11.8,0.788,0.586,1.0,8
83,2026-07-15T17:00,2026-07-15T17:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,5
84,2026-07-15T23:00,2026-07-16T00:00,2,2,1.15,2.0,2.3,1.045,0.475,0.25,8
85,2026-07-16T09:00,2026-07-16T13:00,5,5,1.88,5.0,9.4,0.96,0.642,1.0,3
86,2026-07-16T17:00,2026-07-16T22:00,6,5,1.35,2.9,8.1,0.772,0.651,0.3705,2
87,2026-07-17T01:00,2026-07-17T02:00,2,2,0.95,1.2,1.9,0.372,0.167,0.0355,3
88,2026-07-17T06:00,2026-07-17T09:00,4,4,4.625,10.8,18.5,0.958,0.625,0.635,2
89,2026-07-17T12:00,2026-07-17T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,147
