time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,4.7,1.64,6.4,239,14,13760.0,0,0.293
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,6.2,2.48,6.9,245,8,13760.0,1,0.293
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,9.6,2.15,7.1,245,3,18200.0,1,0.293
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,360.0,13.5,2.25,7.3,253,4,19200.0,1,0.293
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1035.0,16.6,2.39,7.8,244,5,21680.0,1,0.292
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,2170.0,18.4,1.87,7.8,226,5,21960.0,1,0.291
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,2235.0,18.5,0.36,5.9,146,0,21960.0,1,0.29
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,2240.0,19.1,0.65,3.9,90,1,22180.0,1,0.289
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,2080.0,19.0,1.35,5.1,42,38,22180.0,1,0.288
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,1905.0,18.0,1.35,5.5,42,30,22180.0,1,0.288
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,305.0,14.4,1.4,5.9,55,67,21960.0,1,0.288
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,35.0,12.7,0.55,6.0,90,22,21940.0,0,0.288
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,11.3,0.22,4.1,117,88,21640.0,0,0.29
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,9.2,0.53,3.0,221,3,21640.0,0,0.29
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,7.9,0.89,3.1,232,5,21640.0,0,0.29
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,6.4,1.0,3.6,233,8,20000.0,0,0.29
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,5.4,1.27,4.5,228,2,19160.0,0,0.291
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,4.6,1.4,4.9,235,6,18160.0,0,0.291
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,63.0,30.0,3.3,1.28,5.3,239,2,18160.0,0,0.291
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,3.6,1.66,5.7,237,9,18160.0,0,0.291
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,3.0,1.59,5.3,242,9,16960.0,0,0.291
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,2.6,1.46,5.1,239,17,16960.0,0,0.291
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,20.0,2.5,1.3,4.7,238,20,16960.0,0,0.292
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,2.8,1.23,4.3,243,16,16960.0,0,0.292
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,1.7,1.14,4.2,241,6,16940.0,0,0.292
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,3.8,1.84,4.8,241,1,16940.0,1,0.292
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,90.0,8.2,1.36,4.9,262,0,19140.0,1,0.292
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,185.0,11.9,0.84,4.5,287,0,21600.0,1,0.291
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,340.0,14.6,0.64,3.9,39,0,21600.0,1,0.291
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,640.0,16.4,1.6,5.7,70,0,21900.0,1,0.29
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,845.0,16.7,2.14,7.4,79,2,21900.0,1,0.285
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,920.0,17.2,2.75,8.5,100,0,21900.0,1,0.283
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,970.0,16.7,3.05,9.2,100,0,21600.0,1,0.282
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,950.0,15.7,2.48,9.1,99,0,21600.0,1,0.282
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,160.0,12.7,1.27,7.3,116,100,19940.0,1,0.282
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,115.0,40.0,11.4,0.83,4.5,115,100,19940.0,0,0.282
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,93.0,25.0,9.4,0.61,3.5,125,7,19120.0,0,0.276
