time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,25.0,80.0,2.8,2.75,4.6,177,95,13640.0,1,0.046
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,120.0,5.6,2.21,5.1,185,94,15240.0,1,0.046
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,165.0,9.0,1.66,4.7,196,99,16560.0,1,0.046
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,220.0,12.0,1.57,5.0,207,100,17740.0,1,0.046
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,310.0,14.4,1.75,5.4,211,100,17780.0,1,0.046
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,425.0,15.5,2.42,6.4,218,99,17800.0,1,0.046
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,26.0,700.0,16.8,2.91,7.2,235,97,17820.0,1,0.045
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,765.0,17.2,2.69,7.2,225,99,17840.0,1,0.045
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,625.0,16.6,2.55,6.7,223,100,17840.0,1,0.045
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,95.0,14.8,1.8,5.0,214,100,17840.0,1,0.045
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,55.0,13.7,2.11,3.5,211,100,16620.0,0,0.045
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,65.0,12.7,2.99,5.1,201,100,16620.0,0,0.045
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,70.0,11.1,2.98,6.2,203,91,16620.0,0,0.043
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,90.0,10.0,3.39,5.8,202,83,16620.0,0,0.043
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,28.0,105.0,9.4,3.69,6.5,207,82,16620.0,0,0.043
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,28.0,125.0,9.1,3.78,6.9,209,98,16620.0,0,0.043
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,28.0,115.0,8.5,3.15,6.8,237,93,16620.0,0,0.043
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,28.0,120.0,8.2,3.47,6.2,234,100,16620.0,0,0.043
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,28.0,125.0,8.2,3.45,6.3,246,100,16620.0,0,0.04
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,28.0,120.0,8.1,2.98,6.2,262,36,15220.0,0,0.04
