event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T15:00,2026-02-25T15:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,305
1,2026-03-10T09:00,2026-03-10T09:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,67
2,2026-03-13T05:00,2026-03-13T12:00,8,8,0.388,0.7,3.1,0.35,0.0,0.0,4
3,2026-03-13T17:00,2026-03-13T21:00,5,5,0.62,1.0,3.1,0.402,0.0,0.0,3
4,2026-03-14T01:00,2026-03-14T03:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,179
5,2026-03-21T15:00,2026-03-21T15:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,157
6,2026-03-28T05:00,2026-03-28T12:00,8,7,1.15,2.2,9.2,0.652,0.659,0.0394,36
7,2026-03-30T01:00,2026-03-30T03:00,3,3,0.567,0.8,1.7,0.444,0.097,0.0,57
8,2026-04-01T13:00,2026-04-01T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,30
9,2026-04-02T20:00,2026-04-02T21:00,2,2,0.45,0.5,0.9,0.157,0.875,0.0,123
10,2026-04-08T01:00,2026-04-08T05:00,5,5,0.56,0.8,2.8,0.324,0.0,0.0,2
11,2026-04-08T08:00,2026-04-08T17:00,10,10,0.78,1.6,7.8,0.53,0.008,0.0,133
12,2026-04-14T07:00,2026-04-14T07:00,1,1,2.1,2.1,2.1,0.0,1.0,0.0798,118
13,2026-04-19T06:00,2026-04-19T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,213
14,2026-04-28T04:00,2026-04-28T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,98
15,2026-05-02T07:00,2026-05-02T12:00,6,5,0.75,1.2,4.5,0.497,0.317,0.0015,91
16,2026-05-06T08:00,2026-05-06T08:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,236
17,2026-05-16T05:00,2026-05-16T10:00,6,5,0.983,1.6,5.9,0.651,0.112,0.0038,2
18,2026-05-16T13:00,2026-05-16T13:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,9
19,2026-05-16T23:00,2026-05-17T18:00,20,20,1.355,4.2,27.1,0.741,0.335,0.0135,52
20,2026-05-19T23:00,2026-05-20T00:00,2,2,0.35,0.4,0.7,0.202,0.875,0.0,2
21,2026-05-20T03:00,2026-05-20T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
22,2026-05-20T07:00,2026-05-20T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,33
23,2026-05-21T17:00,2026-05-22T03:00,11,11,1.345,2.4,14.8,0.572,0.352,0.0262,65
24,2026-05-24T21:00,2026-05-25T06:00,10,10,3.37,7.7,33.7,0.761,0.066,0.015,11
25,2026-05-25T18:00,2026-05-25T21:00,4,4,0.55,0.8,2.2,0.348,0.0,0.0,2
26,2026-05-26T00:00,2026-05-26T03:00,4,4,0.825,1.2,3.3,0.545,0.146,0.0005,194
