event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-22T08:00,2026-03-22T09:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,341
1,2026-04-05T15:00,2026-04-05T17:00,3,3,0.433,0.6,1.3,0.353,0.806,0.0,94
2,2026-04-09T16:00,2026-04-09T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
3,2026-04-09T20:00,2026-04-10T07:00,12,12,0.767,1.9,9.2,0.623,0.064,0.0022,4
4,2026-04-10T12:00,2026-04-10T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
5,2026-04-10T19:00,2026-04-10T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,95
6,2026-04-14T19:00,2026-04-14T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,127
7,2026-04-20T03:00,2026-04-20T06:00,4,3,0.45,0.8,1.8,0.588,0.0,0.0,126
8,2026-04-25T13:00,2026-04-25T15:00,3,2,0.4,0.7,1.2,0.901,0.667,0.0,4
9,2026-04-25T20:00,2026-04-25T20:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,4
10,2026-04-26T01:00,2026-04-26T07:00,7,5,0.386,0.9,2.7,0.643,0.095,0.0,158
11,2026-05-02T22:00,2026-05-03T08:00,11,11,0.482,0.8,5.3,0.319,0.011,0.0,67
12,2026-05-06T04:00,2026-05-06T04:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,6
13,2026-05-06T11:00,2026-05-06T20:00,10,9,0.61,1.0,6.1,0.473,0.2,0.0,13
14,2026-05-07T10:00,2026-05-08T00:00,15,15,1.02,1.7,15.3,0.394,0.113,0.0026,6
15,2026-05-08T07:00,2026-05-08T07:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,44
16,2026-05-10T04:00,2026-05-10T04:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,176
17,2026-05-17T13:00,2026-05-17T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,24
18,2026-05-18T14:00,2026-05-18T23:00,10,9,0.75,1.5,7.5,0.629,0.025,0.0013,167
19,2026-05-25T23:00,2026-05-26T00:00,2,2,0.5,0.6,1.0,0.283,0.125,0.0,22
20,2026-05-26T23:00,2026-05-27T05:00,7,7,0.657,1.0,4.6,0.392,0.048,0.0,3
21,2026-05-27T09:00,2026-05-27T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
22,2026-05-27T13:00,2026-05-27T13:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,2
23,2026-05-27T16:00,2026-05-27T20:00,5,5,1.5,2.3,7.5,0.414,0.571,0.0034,5
24,2026-05-28T02:00,2026-05-28T02:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,3
25,2026-05-28T06:00,2026-05-28T07:00,2,2,1.65,2.2,3.3,0.471,0.863,0.0285,29
