time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2025-10-01T00:00,0.0,0.0,0.0,0.0,0.0,,3,370.0,30.0,,20.0,5.0,6.5,192,91,4360.0,1,0.217
2025-10-01T01:00,0.0,0.0,0.0,0.0,0.0,,3,710.0,137.0,,23.7,4.22,8.9,202,99,22180.0,1,0.217
2025-10-01T02:00,0.0,0.0,0.0,0.0,0.0,,3,750.0,86.0,,25.4,4.19,8.3,209,96,23860.0,1,0.215
2025-10-01T03:00,0.0,0.0,0.0,0.0,0.0,,0,910.0,39.0,,26.7,3.95,8.5,215,16,23840.0,1,0.212
2025-10-01T04:00,0.0,0.0,0.0,0.0,0.0,,1,890.0,22.0,,27.9,4.11,8.4,217,21,25140.0,1,0.209
2025-10-01T05:00,0.0,0.0,0.0,0.0,0.0,,3,800.0,15.0,,28.5,3.75,8.5,225,99,25080.0,1,0.206
2025-10-01T06:00,0.0,0.0,0.0,0.0,0.0,,3,600.0,21.0,,28.4,3.08,7.7,226,97,26140.0,1,0.195
2025-10-01T07:00,0.0,0.0,0.0,0.0,0.0,,3,610.0,21.0,,28.5,3.0,6.2,217,96,26140.0,1,0.193
2025-10-01T08:00,0.0,0.0,0.0,0.0,0.0,,3,720.0,15.0,,28.0,2.57,5.9,209,96,25060.0,1,0.193
2025-10-01T09:00,0.0,0.0,0.0,0.0,0.0,,3,880.0,30.0,,25.9,1.56,4.3,186,100,23740.0,1,0.193
2025-10-01T10:00,0.0,0.0,0.0,0.0,0.0,,3,1030.0,36.0,,23.0,1.76,2.5,165,100,22100.0,0,0.194
2025-10-01T11:00,0.0,0.0,0.0,0.0,0.0,,3,910.0,30.0,,22.9,2.6,4.2,178,100,19640.0,0,0.195
2025-10-01T12:00,0.0,0.0,0.0,0.0,0.0,,3,930.0,21.0,,22.4,2.04,5.0,169,100,18080.0,0,0.198
2025-10-01T13:00,0.0,0.0,0.0,0.0,0.0,,3,860.0,17.0,,22.3,2.4,3.9,179,100,18080.0,0,0.199
2025-10-01T14:00,0.0,0.0,0.0,0.0,0.0,,3,860.0,100.0,,22.3,2.95,5.0,183,100,18080.0,0,0.2
2025-10-01T15:00,0.0,0.0,0.0,0.0,0.0,,3,920.0,85.0,,22.1,2.28,4.9,189,100,15780.0,0,0.201
2025-10-01T16:00,0.0,0.0,0.0,0.0,0.0,,3,940.0,77.0,,21.9,2.1,3.8,198,100,15780.0,0,0.202
2025-10-01T17:00,0.0,0.0,0.0,0.0,0.0,,3,890.0,80.0,,21.9,2.13,3.7,210,100,6820.0,0,0.203
2025-10-01T18:00,0.3,0.3,0.0,0.0,0.0,,51,870.0,63.0,,21.6,2.3,3.7,224,100,4660.0,0,0.207
2025-10-01T19:00,0.3,0.3,0.0,0.0,0.0,,51,830.0,78.0,,21.4,2.16,3.8,220,100,5740.0,0,0.211
2025-10-01T20:00,0.2,0.2,0.0,0.0,0.0,,51,810.0,87.0,,21.3,2.47,3.9,216,100,8540.0,0,0.213
2025-10-01T21:00,0.0,0.0,0.0,0.0,0.0,,3,650.0,83.0,,21.3,3.18,5.7,226,98,15780.0,0,0.214
2025-10-01T22:00,0.0,0.0,0.0,0.0,0.0,,3,530.0,9.0,,20.5,1.67,5.2,219,100,15840.0,1,0.215
2025-10-01T23:00,1.4,0.2,1.2,0.0,0.0,,80,210.0,57.0,,20.1,3.13,4.8,29,100,4440.0,1,0.234
2025-10-02T00:00,0.2,0.2,0.0,0.0,0.0,,51,150.0,49.0,,19.7,0.97,5.8,325,100,5100.0,1,0.236
2025-10-02T01:00,0.3,0.3,0.0,0.0,0.0,,51,190.0,40.0,,20.2,1.65,3.4,3,100,6760.0,1,0.239
2025-10-02T02:00,0.2,0.2,0.0,0.0,0.0,,51,200.0,17.0,,19.9,1.28,3.2,121,100,5360.0,1,0.242
2025-10-02T03:00,0.2,0.2,0.0,0.0,0.0,,51,160.0,19.0,,20.5,1.61,3.6,74,100,8040.0,1,0.243
2025-10-02T04:00,0.2,0.2,0.0,0.0,0.0,,51,70.0,19.0,,20.7,1.63,3.6,117,99,6740.0,1,0.244
2025-10-02T05:00,0.1,0.1,0.0,0.0,0.0,,51,80.0,0.0,,21.5,2.15,4.8,108,100,10720.0,1,0.244
2025-10-02T06:00,0.1,0.1,0.0,0.0,0.0,,51,20.0,18.0,,21.2,3.06,4.9,116,100,5920.0,1,0.24
2025-10-02T07:00,0.3,0.3,0.0,0.0,0.0,,51,40.0,24.0,,20.4,3.23,5.6,82,100,8060.0,1,0.241
2025-10-02T08:00,0.1,0.1,0.0,0.0,0.0,,51,60.0,11.0,,20.0,3.51,6.1,86,100,6440.0,1,0.242
2025-10-02T09:00,0.1,0.1,0.0,0.0,0.0,,51,60.0,8.0,,19.5,3.61,6.2,100,96,12640.0,1,0.243
