event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-01T08:00,2026-03-01T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,630
1,2026-03-27T15:00,2026-03-27T18:00,4,4,0.775,1.2,3.1,0.399,0.0,0.0,59
2,2026-03-30T06:00,2026-03-30T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,476
3,2026-04-19T03:00,2026-04-19T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,314
4,2026-05-02T06:00,2026-05-02T07:00,2,2,1.6,2.3,3.2,0.619,1.0,0.0016,314
5,2026-05-15T10:00,2026-05-15T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
6,2026-05-15T13:00,2026-05-15T21:00,9,9,1.667,4.3,15.0,0.729,0.228,0.0041,129
7,2026-05-21T07:00,2026-05-21T09:00,3,2,0.333,0.6,1.0,0.917,0.333,0.0,7
8,2026-05-21T17:00,2026-05-21T18:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,58
9,2026-05-24T05:00,2026-05-24T13:00,9,9,1.5,2.6,13.5,0.556,0.255,0.064,575
10,2026-06-17T13:00,2026-06-17T15:00,3,3,0.9,1.1,2.7,0.385,0.485,0.0041,21
11,2026-06-18T13:00,2026-06-18T13:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,15
12,2026-06-19T05:00,2026-06-19T10:00,6,4,0.283,0.5,1.7,0.565,0.353,0.0,134
13,2026-06-25T01:00,2026-06-25T02:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,355
14,2026-07-09T22:00,2026-07-10T03:00,6,6,1.25,2.0,7.5,0.518,0.153,0.0037,17
15,2026-07-10T21:00,2026-07-11T10:00,14,14,0.879,1.4,12.3,0.414,0.092,0.009,51
16,2026-07-13T14:00,2026-07-14T04:00,15,15,1.553,4.0,23.3,0.641,0.073,0.015,86
17,2026-07-17T19:00,2026-07-17T20:00,2,2,0.7,1.0,1.4,0.606,0.1,0.0,9
18,2026-07-18T06:00,2026-07-18T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,64
19,2026-07-20T23:00,2026-07-21T02:00,4,3,0.675,1.4,2.7,0.797,0.458,0.067,103
20,2026-07-25T10:00,2026-07-25T10:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
21,2026-07-25T13:00,2026-07-25T20:00,8,7,0.662,1.8,5.3,0.865,0.271,0.097,4
22,2026-07-26T01:00,2026-07-26T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,4
23,2026-07-26T06:00,2026-07-26T08:00,3,3,0.367,0.4,1.1,0.157,0.278,0.0,19
24,2026-07-27T04:00,2026-07-27T04:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,2
25,2026-07-27T07:00,2026-07-27T11:00,5,5,0.44,0.6,2.2,0.345,0.683,0.0,2
26,2026-07-27T14:00,2026-07-27T15:00,2,2,0.45,0.6,0.9,0.471,0.916,0.0,2
27,2026-07-27T18:00,2026-07-27T18:00,1,1,2.1,2.1,2.1,0.0,0.857,0.1444,9
28,2026-07-28T04:00,2026-07-28T05:00,2,2,0.4,0.5,0.8,0.354,0.1,0.0,2
29,2026-07-28T08:00,2026-07-28T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
30,2026-07-28T12:00,2026-07-28T14:00,3,3,1.4,3.2,4.2,1.116,0.746,0.11,40
31,2026-07-30T07:00,2026-07-30T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
32,2026-07-30T10:00,2026-07-30T10:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,14
33,2026-07-31T01:00,2026-07-31T03:00,3,3,1.0,1.4,3.0,0.346,0.167,0.0,76
34,2026-08-03T08:00,2026-08-03T08:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,24
35,2026-08-04T09:00,2026-08-04T09:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,-1
