time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,430.0,-5.6,5.25,10.2,164,100,22360.0,1,0.214
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,440.0,-4.7,5.74,11.9,167,100,21720.0,1,0.214
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,530.0,-2.8,6.16,12.4,172,100,22440.0,1,0.214
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,565.0,-1.4,6.69,13.8,168,100,21620.0,1,0.214
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,595.0,-0.6,6.5,15.4,170,100,20780.0,1,0.214
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,590.0,0.4,6.82,15.7,167,100,21460.0,1,0.214
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,555.0,0.6,7.1,15.0,163,100,21460.0,1,0.214
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,480.0,1.0,6.47,14.4,159,100,21460.0,1,0.214
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,445.0,0.8,5.1,12.9,164,100,18560.0,1,0.214
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,440.0,0.5,4.88,10.0,167,100,16960.0,0,0.214
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,455.0,0.2,5.36,10.8,168,100,13440.0,0,0.214
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,415.0,0.2,4.35,10.8,177,99,16320.0,0,0.214
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,0.0,345.0,-0.8,3.88,8.4,168,100,17240.0,0,0.214
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,270.0,-1.3,2.72,7.5,174,100,17240.0,0,0.214
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,210.0,-1.3,2.6,5.1,179,100,17240.0,0,0.214
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,215.0,-1.1,3.07,5.7,187,77,12240.0,0,0.214
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,230.0,-1.0,3.63,6.8,192,100,14440.0,0,0.214
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,245.0,-0.6,3.51,6.9,191,98,8620.0,0,0.214
2026-01-14T18:00,0.2,0.0,0.2,0.14,0.2,0.01,85,0.0,,215.0,-1.1,3.06,6.6,218,36,14940.0,0,0.214
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,235.0,-1.2,3.98,7.4,213,2,14940.0,0,0.214
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,225.0,-1.3,3.88,7.7,210,6,14940.0,0,0.214
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,,185.0,-1.7,2.97,7.2,216,27,14920.0,0,0.214
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,145.0,-1.8,2.44,5.5,239,100,4460.0,0,0.214
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,310.0,-1.9,3.2,5.6,340,100,1980.0,0,0.214
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,365.0,-2.9,4.2,9.9,1,99,8920.0,1,0.214
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,395.0,-4.2,4.6,10.3,2,99,16840.0,1,0.214
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,500.0,-3.9,4.07,10.5,11,100,20160.0,1,0.214
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,580.0,-3.3,3.62,9.7,11,88,22340.0,1,0.214
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,640.0,-2.5,3.57,9.3,6,5,24480.0,1,0.214
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,660.0,-2.0,3.63,9.3,8,1,24480.0,1,0.214
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,680.0,-2.0,3.64,9.3,9,0,24480.0,1,0.214
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,685.0,-2.4,4.29,10.2,21,0,24480.0,1,0.214
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,,650.0,-3.5,4.38,10.6,26,33,24460.0,1,0.214
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,,600.0,-4.8,4.41,10.2,29,48,24460.0,0,0.214
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,,560.0,-5.9,5.33,10.9,34,36,23100.0,0,0.214
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,500.0,-7.1,5.32,11.1,37,16,23100.0,0,0.214
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,455.0,-7.8,5.27,12.0,31,77,23100.0,0,0.214
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,,425.0,-8.8,4.73,11.8,30,13,23100.0,0,0.214
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,400.0,-9.7,4.36,10.6,27,81,23100.0,0,0.214
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,380.0,-10.4,4.9,11.1,26,90,23100.0,0,0.214
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,390.0,-10.9,4.74,11.2,28,52,23100.0,0,0.214
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,395.0,-11.4,4.99,11.2,29,73,23100.0,0,0.214
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,370.0,-11.3,4.72,11.4,28,78,23080.0,0,0.214
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.01,2,0.0,,375.0,-11.5,5.02,11.3,33,77,23080.0,0,0.214
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,380.0,-11.6,4.77,11.2,30,99,23080.0,0,0.214
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,405.0,-11.4,4.98,11.3,22,100,23080.0,0,0.214
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.01,3,0.0,,440.0,-11.2,5.28,12.1,20,99,23420.0,0,0.214
