event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-01T14:00,2026-03-01T14:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,473
1,2026-03-21T08:00,2026-03-21T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,156
2,2026-03-27T21:00,2026-03-27T22:00,2,2,1.55,2.8,3.1,1.14,1.0,0.0112,445
3,2026-04-15T12:00,2026-04-15T20:00,9,9,1.567,3.4,14.1,0.696,0.23,0.069,72
4,2026-04-18T21:00,2026-04-18T21:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,306
5,2026-05-01T16:00,2026-05-01T20:00,5,5,1.38,2.6,6.9,0.605,0.226,0.01,309
6,2026-05-14T18:00,2026-05-14T19:00,2,2,0.45,0.6,0.9,0.471,0.25,0.0,8
7,2026-05-15T04:00,2026-05-15T06:00,3,3,0.567,0.7,1.7,0.408,0.857,0.0,4
8,2026-05-15T11:00,2026-05-15T11:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,7
9,2026-05-15T19:00,2026-05-15T20:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,3
10,2026-05-16T00:00,2026-05-16T06:00,7,6,2.771,6.5,19.4,0.888,0.361,0.0341,19
11,2026-05-17T02:00,2026-05-17T06:00,5,5,0.8,1.1,4.0,0.342,0.0,0.0003,98
12,2026-05-21T09:00,2026-05-21T13:00,5,4,1.36,2.4,6.8,0.659,0.456,0.0123,55
13,2026-05-23T21:00,2026-05-23T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
14,2026-05-24T02:00,2026-05-24T02:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
15,2026-05-24T07:00,2026-05-24T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
16,2026-05-24T11:00,2026-05-24T20:00,10,10,3.85,7.4,38.5,0.639,0.279,0.025,34
17,2026-05-26T07:00,2026-05-26T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,244
18,2026-06-05T12:00,2026-06-05T12:00,1,1,1.8,1.8,1.8,0.0,0.944,0.0,5
19,2026-06-05T18:00,2026-06-05T19:00,2,2,0.5,0.7,1.0,0.566,0.285,0.0,300
20,2026-06-18T08:00,2026-06-18T09:00,2,2,0.6,0.9,1.2,0.707,0.5,0.0,27
21,2026-06-19T13:00,2026-06-19T13:00,1,1,1.1,1.1,1.1,0.0,0.909,0.0139,117
22,2026-06-24T11:00,2026-06-24T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,66
23,2026-06-27T06:00,2026-06-27T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,24
24,2026-06-28T07:00,2026-06-28T07:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,21
25,2026-06-29T05:00,2026-06-29T06:00,2,2,0.75,1.2,1.5,0.849,0.5,0.0247,2
26,2026-06-29T09:00,2026-06-29T09:00,1,1,0.8,0.8,0.8,0.0,0.25,0.0,20
27,2026-06-30T06:00,2026-06-30T06:00,1,1,3.3,3.3,3.3,0.0,1.0,0.1092,2
28,2026-06-30T09:00,2026-06-30T09:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,105
29,2026-07-04T19:00,2026-07-04T20:00,2,2,0.95,1.1,1.9,0.223,0.892,0.0125,106
30,2026-07-09T07:00,2026-07-09T08:00,2,2,0.35,0.4,0.7,0.202,0.334,0.0,13
31,2026-07-09T22:00,2026-07-10T04:00,7,7,1.457,5.5,10.2,1.238,0.319,0.515,2
32,2026-07-10T07:00,2026-07-10T11:00,5,5,3.02,7.7,15.1,1.188,0.764,0.41,6
33,2026-07-10T18:00,2026-07-11T04:00,11,10,2.282,4.0,25.1,0.564,0.511,0.0469,5
34,2026-07-11T10:00,2026-07-11T11:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,59
35,2026-07-13T23:00,2026-07-14T10:00,12,12,2.042,3.3,24.5,0.382,0.323,0.0172,37
36,2026-07-16T00:00,2026-07-16T11:00,12,12,0.867,1.5,10.4,0.495,0.0,0.008,67
37,2026-07-19T07:00,2026-07-19T07:00,1,1,0.9,0.9,0.9,0.0,0.333,0.0,83
38,2026-07-22T19:00,2026-07-22T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,178
39,2026-07-30T06:00,2026-07-30T08:00,3,3,0.533,1.0,1.6,0.758,0.389,0.0,4
40,2026-07-30T13:00,2026-07-30T13:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,10
41,2026-07-31T00:00,2026-07-31T00:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,4
42,2026-07-31T05:00,2026-07-31T05:00,1,1,2.3,2.3,2.3,0.0,0.826,0.156,5
43,2026-07-31T11:00,2026-07-31T13:00,3,2,0.333,0.6,1.0,0.755,0.0,0.0,19
44,2026-08-01T09:00,2026-08-01T09:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,10
45,2026-08-01T20:00,2026-08-01T23:00,4,4,2.3,6.6,9.2,1.269,0.477,0.095,3
46,2026-08-02T03:00,2026-08-02T03:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
47,2026-08-02T07:00,2026-08-02T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
48,2026-08-02T10:00,2026-08-02T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
49,2026-08-02T16:00,2026-08-03T00:00,9,9,1.422,2.5,12.8,0.506,0.123,0.0,-1
