event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-24T14:00,2026-03-24T14:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1002
1,2026-05-05T09:00,2026-05-05T09:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,213
2,2026-05-14T07:00,2026-05-14T09:00,3,2,0.267,0.3,0.8,0.217,0.94,0.0,164
3,2026-05-21T06:00,2026-05-21T07:00,2,2,0.75,0.8,1.5,0.094,0.865,0.0,24
4,2026-05-22T08:00,2026-05-22T09:00,2,2,0.45,0.6,0.9,0.471,0.416,0.0,36
5,2026-05-23T22:00,2026-05-24T04:00,7,7,0.686,1.1,4.8,0.416,0.267,0.0002,12
6,2026-05-24T17:00,2026-05-24T20:00,4,4,0.55,0.8,2.2,0.433,0.0,0.0,9
7,2026-05-25T06:00,2026-05-25T10:00,5,4,0.3,0.4,1.5,0.408,0.767,0.0,10
8,2026-05-25T21:00,2026-05-25T23:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,12
9,2026-05-26T12:00,2026-05-26T14:00,3,2,0.6,1.4,1.8,1.202,0.569,0.001,15
10,2026-05-27T06:00,2026-05-27T07:00,2,2,0.55,0.8,1.1,0.643,0.834,0.0,2
11,2026-05-27T10:00,2026-05-27T10:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,65
12,2026-05-30T04:00,2026-05-30T05:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,23
13,2026-05-31T05:00,2026-05-31T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
14,2026-05-31T09:00,2026-05-31T18:00,10,10,0.59,1.1,5.9,0.476,0.703,0.0006,12
15,2026-06-01T07:00,2026-06-01T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,4
16,2026-06-01T12:00,2026-06-01T12:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,5
17,2026-06-01T18:00,2026-06-01T19:00,2,2,0.75,1.1,1.5,0.66,0.75,0.0,2
18,2026-06-01T22:00,2026-06-02T07:00,10,10,0.92,1.7,9.2,0.544,0.623,0.0105,105
19,2026-06-06T17:00,2026-06-07T09:00,17,14,0.688,2.1,11.7,0.73,0.649,0.0014,2
20,2026-06-07T12:00,2026-06-07T13:00,2,2,0.55,0.6,1.1,0.129,0.516,0.0,3
21,2026-06-07T17:00,2026-06-07T19:00,3,3,0.5,0.9,1.5,0.693,0.63,0.0,7
22,2026-06-08T03:00,2026-06-08T04:00,2,2,0.7,0.9,1.4,0.404,0.633,0.0,3
23,2026-06-08T08:00,2026-06-08T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
24,2026-06-08T11:00,2026-06-08T11:00,1,1,1.5,1.5,1.5,0.0,0.933,0.0081,11
25,2026-06-08T23:00,2026-06-09T07:00,9,9,0.944,1.6,8.5,0.434,0.096,0.0011,5
26,2026-06-09T13:00,2026-06-09T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
27,2026-06-09T19:00,2026-06-10T01:00,7,7,0.414,0.7,2.9,0.353,0.0,0.0,3
28,2026-06-10T05:00,2026-06-10T06:00,2,2,0.35,0.4,0.7,0.202,0.291,0.0,20
29,2026-06-11T03:00,2026-06-11T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,23
30,2026-06-12T03:00,2026-06-12T06:00,4,4,0.4,0.5,1.6,0.204,0.125,0.0,4
31,2026-06-12T11:00,2026-06-12T12:00,2,2,0.55,0.6,1.1,0.129,0.716,0.0,12
32,2026-06-13T01:00,2026-06-13T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,7
33,2026-06-13T09:00,2026-06-13T10:00,2,2,0.75,0.8,1.5,0.094,0.688,0.0,3
34,2026-06-13T14:00,2026-06-13T14:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,2
35,2026-06-13T17:00,2026-06-13T18:00,2,2,0.9,1.4,1.8,0.786,0.428,0.0005,6
36,2026-06-14T01:00,2026-06-14T05:00,5,5,0.52,0.9,2.6,0.479,0.711,0.0,12
37,2026-06-14T18:00,2026-06-14T18:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
38,2026-06-14T21:00,2026-06-14T22:00,2,2,0.5,0.6,1.0,0.283,0.416,0.0,3
39,2026-06-15T02:00,2026-06-15T03:00,2,2,0.65,0.8,1.3,0.326,0.713,0.0,2
40,2026-06-15T06:00,2026-06-15T07:00,2,2,1.45,1.6,2.9,0.146,0.861,0.0255,2
