event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T15:00,2026-01-19T00:00,10,10,0.69,1.5,6.9,0.573,0.045,0.0013,4
1,2026-01-19T05:00,2026-01-19T06:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,3
2,2026-01-19T10:00,2026-01-19T16:00,7,6,0.5,0.9,3.5,0.49,0.0,0.0,128
3,2026-01-25T01:00,2026-01-25T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
4,2026-01-25T06:00,2026-01-25T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
5,2026-01-25T15:00,2026-01-25T17:00,3,2,0.233,0.3,0.7,0.495,0.0,0.0,77
6,2026-01-28T23:00,2026-01-29T01:00,3,3,0.433,0.6,1.3,0.353,0.0,0.0,2
7,2026-01-29T04:00,2026-01-29T07:00,4,4,0.525,0.8,2.1,0.361,0.113,0.0,2
8,2026-01-29T10:00,2026-01-29T11:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,7
9,2026-01-29T19:00,2026-01-30T03:00,9,8,0.333,0.5,3.0,0.26,0.028,0.0,381
10,2026-02-15T01:00,2026-02-15T07:00,7,6,1.314,5.1,9.2,1.323,0.771,0.02,4
11,2026-02-15T12:00,2026-02-15T12:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,6
12,2026-02-15T19:00,2026-02-15T23:00,5,5,1.52,2.9,7.6,0.64,0.445,0.005,161
13,2026-02-22T17:00,2026-02-22T23:00,7,6,1.943,6.7,13.6,1.202,0.648,0.005,15
14,2026-02-23T15:00,2026-02-23T16:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,38
15,2026-02-25T07:00,2026-02-25T07:00,1,1,1.6,1.6,1.6,0.0,1.0,0.0075,11
16,2026-02-25T19:00,2026-02-26T01:00,7,6,2.957,12.9,20.7,1.588,0.386,0.07,27
17,2026-02-27T05:00,2026-02-27T09:00,5,4,0.32,0.4,1.6,0.407,0.0,0.0,3
18,2026-02-27T13:00,2026-02-27T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
19,2026-02-27T16:00,2026-02-27T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
20,2026-02-28T01:00,2026-02-28T03:00,3,3,1.1,2.1,3.3,0.808,0.738,0.011,3
