event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-30T20:00,2026-03-30T23:00,4,4,0.95,1.5,3.8,0.611,0.152,0.0,337
1,2026-04-14T01:00,2026-04-14T01:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
2,2026-04-14T07:00,2026-04-14T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,37
3,2026-04-15T21:00,2026-04-16T03:00,7,7,1.629,3.4,11.4,0.667,0.142,0.0158,71
4,2026-04-19T03:00,2026-04-19T05:00,3,3,0.733,1.0,2.2,0.417,0.067,0.0,310
5,2026-05-02T04:00,2026-05-02T06:00,3,3,1.0,1.3,3.0,0.52,0.0,0.0,310
6,2026-05-15T05:00,2026-05-15T11:00,7,6,1.671,7.8,11.7,1.642,0.433,0.265,20
7,2026-05-16T08:00,2026-05-16T11:00,4,4,1.075,1.8,4.3,0.506,0.0,0.001,2
8,2026-05-16T14:00,2026-05-16T14:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,12
9,2026-05-17T03:00,2026-05-17T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
10,2026-05-17T08:00,2026-05-17T14:00,7,7,0.8,1.9,5.6,0.681,0.0,0.0,98
11,2026-05-21T17:00,2026-05-21T20:00,4,4,1.075,1.3,4.3,0.267,0.107,0.0,74
12,2026-05-24T23:00,2026-05-25T02:00,4,4,1.4,1.8,5.6,0.303,0.125,0.021,282
13,2026-06-05T21:00,2026-06-06T05:00,9,9,0.633,1.3,5.7,0.418,0.028,0.003,49
14,2026-06-08T07:00,2026-06-08T07:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,87
15,2026-06-11T23:00,2026-06-12T01:00,3,2,0.233,0.4,0.7,0.892,0.333,0.0,27
16,2026-06-13T05:00,2026-06-13T05:00,1,1,2.0,2.0,2.0,0.0,0.95,0.1125,2
17,2026-06-13T08:00,2026-06-13T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,46
18,2026-06-15T07:00,2026-06-15T07:00,1,1,1.8,1.8,1.8,0.0,0.833,0.199,7
19,2026-06-15T15:00,2026-06-15T16:00,2,2,1.1,1.4,2.2,0.386,0.581,0.083,13
20,2026-06-16T06:00,2026-06-16T11:00,6,5,2.65,6.2,15.9,0.982,0.622,0.575,44
21,2026-06-18T08:00,2026-06-18T08:00,1,1,1.6,1.6,1.6,0.0,0.938,0.0848,24
22,2026-06-19T09:00,2026-06-19T13:00,5,4,0.48,0.9,2.4,0.578,0.0,0.0,2
23,2026-06-19T16:00,2026-06-19T21:00,6,4,0.567,2.0,3.4,1.266,0.225,0.0187,71
24,2026-06-22T21:00,2026-06-23T00:00,4,4,0.475,0.7,1.9,0.316,0.527,0.0,5
25,2026-06-23T06:00,2026-06-23T06:00,1,1,3.0,3.0,3.0,0.0,0.9,0.1525,97
26,2026-06-27T08:00,2026-06-27T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,26
27,2026-06-28T11:00,2026-06-28T12:00,2,2,0.65,0.9,1.3,0.544,0.82,0.0,19
28,2026-06-29T08:00,2026-06-29T11:00,4,4,0.975,2.5,3.9,1.051,0.357,0.21,19
29,2026-06-30T07:00,2026-06-30T08:00,2,2,0.7,0.9,1.4,0.404,0.222,0.0,20
30,2026-07-01T05:00,2026-07-01T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,7
31,2026-07-01T13:00,2026-07-01T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,41
32,2026-07-03T07:00,2026-07-03T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,27
33,2026-07-04T11:00,2026-07-04T11:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,19
34,2026-07-05T07:00,2026-07-05T07:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,22
35,2026-07-06T06:00,2026-07-06T07:00,2,2,1.55,2.7,3.1,1.049,0.481,0.2083,24
36,2026-07-07T08:00,2026-07-07T08:00,1,1,1.1,1.1,1.1,0.0,0.455,0.0085,3
