event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T09:00,2026-01-19T10:00,2,2,0.0,0.0,0.0,0.0,0.748,0.0,3
1,2026-01-19T14:00,2026-01-19T14:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,837
2,2026-02-23T12:00,2026-02-23T12:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
3,2026-02-23T15:00,2026-02-23T16:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,44
4,2026-02-25T13:00,2026-02-25T21:00,9,9,1.467,2.2,13.2,0.392,0.314,0.0045,53
5,2026-02-28T03:00,2026-02-28T18:00,16,15,0.906,2.2,14.5,0.688,0.019,0.0,5
6,2026-03-01T00:00,2026-03-01T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
7,2026-03-01T04:00,2026-03-01T06:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,125
8,2026-03-06T12:00,2026-03-06T16:00,5,5,0.52,1.2,2.6,0.75,0.033,0.0,179
9,2026-03-14T04:00,2026-03-14T16:00,13,13,0.485,0.7,6.3,0.251,0.0,0.0,58
10,2026-03-17T03:00,2026-03-17T09:00,7,7,0.7,1.0,4.9,0.297,0.0,0.0,153
11,2026-03-23T19:00,2026-03-23T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,110
12,2026-03-28T10:00,2026-03-28T11:00,2,2,0.6,0.7,1.2,0.236,1.0,0.0,36
13,2026-03-30T00:00,2026-03-30T04:00,5,5,0.52,0.8,2.6,0.37,0.223,0.0,59
14,2026-04-01T16:00,2026-04-01T16:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,150
15,2026-04-07T23:00,2026-04-07T23:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
16,2026-04-08T02:00,2026-04-08T14:00,13,12,1.677,6.1,21.8,0.989,0.297,0.0956,169
17,2026-04-15T16:00,2026-04-15T19:00,4,3,1.125,2.4,4.5,1.03,0.5,0.0,2
18,2026-04-15T22:00,2026-04-15T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,85
19,2026-04-19T12:00,2026-04-19T21:00,10,10,0.55,0.9,5.5,0.356,0.512,0.0,27
20,2026-04-21T01:00,2026-04-21T13:00,13,13,0.938,2.0,12.2,0.642,0.0,0.0,235
21,2026-05-01T09:00,2026-05-01T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
22,2026-05-01T15:00,2026-05-01T17:00,3,3,0.733,1.2,2.2,0.615,0.0,0.002,9
23,2026-05-02T03:00,2026-05-02T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,296
24,2026-05-14T12:00,2026-05-14T12:00,1,1,1.3,1.3,1.3,0.0,0.615,0.0086,14
25,2026-05-15T03:00,2026-05-15T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,15
26,2026-05-15T19:00,2026-05-15T20:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,7
27,2026-05-16T04:00,2026-05-16T19:00,16,16,1.212,3.1,19.4,0.673,0.422,0.063,2
28,2026-05-16T22:00,2026-05-17T02:00,5,4,0.46,1.0,2.3,0.698,0.087,0.0,4
29,2026-05-17T07:00,2026-05-17T22:00,16,16,1.413,5.8,22.6,0.937,0.268,0.05,32
30,2026-05-19T07:00,2026-05-19T19:00,13,13,0.931,2.0,12.1,0.592,0.195,0.0037,10
31,2026-05-20T06:00,2026-05-20T07:00,2,2,0.4,0.4,0.8,0.0,0.125,0.0,103
32,2026-05-24T15:00,2026-05-24T17:00,3,3,0.6,0.8,1.8,0.289,0.0,0.0,3
33,2026-05-24T21:00,2026-05-25T07:00,11,9,1.173,5.4,12.9,1.372,0.191,0.0,252
34,2026-06-04T20:00,2026-06-04T22:00,3,3,1.6,2.5,4.8,0.721,0.518,0.0413,19
35,2026-06-05T18:00,2026-06-05T19:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,11
36,2026-06-06T07:00,2026-06-06T08:00,2,2,1.2,1.7,2.4,0.589,0.424,0.0184,3
37,2026-06-06T12:00,2026-06-06T16:00,5,5,1.16,1.7,5.8,0.277,0.0,0.0009,277
38,2026-06-18T06:00,2026-06-18T06:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,3
39,2026-06-18T10:00,2026-06-19T03:00,18,17,1.222,4.2,22.0,0.819,0.314,0.0451,33
40,2026-06-20T13:00,2026-06-20T13:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,5
41,2026-06-20T19:00,2026-06-21T16:00,22,22,1.755,4.3,38.6,0.678,0.262,0.132,140
42,2026-06-27T13:00,2026-06-27T14:00,2,2,4.2,7.3,8.4,1.044,0.591,0.31,16
43,2026-06-28T07:00,2026-06-28T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,23
44,2026-06-29T07:00,2026-06-29T07:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,26
45,2026-06-30T10:00,2026-06-30T12:00,3,2,1.8,4.5,5.4,1.314,0.512,0.2406,122
46,2026-07-05T15:00,2026-07-05T16:00,2,2,1.1,1.5,2.2,0.514,0.715,0.125,13
47,2026-07-06T06:00,2026-07-06T10:00,5,4,0.74,1.8,3.7,0.929,0.457,0.2,5
48,2026-07-06T16:00,2026-07-06T20:00,5,5,1.12,2.2,5.6,0.623,0.294,0.2235,187
49,2026-07-14T16:00,2026-07-15T03:00,12,11,1.633,6.4,19.6,1.175,0.368,1.0,15
50,2026-07-15T19:00,2026-07-15T20:00,2,2,0.6,0.8,1.2,0.471,0.188,0.0,9
51,2026-07-16T06:00,2026-07-16T11:00,6,6,3.45,14.4,20.7,1.587,0.59,1.0,2
52,2026-07-16T14:00,2026-07-17T03:00,14,13,1.464,5.1,20.5,1.099,0.3,0.235,30
53,2026-07-18T10:00,2026-07-18T11:00,2,2,2.55,3.5,5.1,0.527,0.386,0.2844,7
54,2026-07-18T19:00,2026-07-18T19:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,79
55,2026-07-22T03:00,2026-07-22T07:00,5,5,0.32,0.4,1.6,0.14,0.683,0.0,8
56,2026-07-22T16:00,2026-07-22T17:00,2,2,1.65,2.5,3.3,0.729,0.22,0.1013,15
57,2026-07-23T09:00,2026-07-23T09:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,7
58,2026-07-23T17:00,2026-07-23T18:00,2,2,2.9,4.8,5.8,0.927,0.5,0.665,9
59,2026-07-24T04:00,2026-07-24T07:00,4,4,0.375,0.5,1.5,0.255,0.734,0.0,6
