event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T01:00,2026-01-19T03:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,154
1,2026-01-25T14:00,2026-01-25T15:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,3
2,2026-01-25T19:00,2026-01-26T06:00,12,10,0.45,0.7,5.4,0.439,0.0,0.0,81
3,2026-01-29T16:00,2026-01-30T07:00,16,15,0.75,1.6,12.0,0.584,0.0,0.0,3
4,2026-01-30T11:00,2026-01-30T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
5,2026-01-30T14:00,2026-01-30T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,147
6,2026-02-05T18:00,2026-02-05T21:00,4,4,0.725,1.1,2.9,0.483,0.0,0.0,89
7,2026-02-09T15:00,2026-02-09T16:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,143
8,2026-02-15T16:00,2026-02-15T22:00,7,7,0.8,1.3,5.6,0.375,0.223,0.0,4
9,2026-02-16T03:00,2026-02-16T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,178
10,2026-02-23T14:00,2026-02-23T22:00,9,8,0.811,1.5,7.3,0.618,0.084,0.0,45
11,2026-02-25T20:00,2026-02-26T08:00,13,13,1.046,2.5,13.6,0.638,0.012,0.0019,6
12,2026-02-26T15:00,2026-02-26T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,6
13,2026-02-26T22:00,2026-02-26T23:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,41
14,2026-02-28T17:00,2026-02-28T18:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,5
15,2026-03-01T00:00,2026-03-01T20:00,21,21,1.148,2.2,24.1,0.522,0.073,0.0075,323
16,2026-03-15T08:00,2026-03-15T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
17,2026-03-15T11:00,2026-03-15T20:00,10,10,0.52,0.7,5.2,0.253,0.0,0.0,4
18,2026-03-16T01:00,2026-03-16T03:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,3
19,2026-03-16T07:00,2026-03-16T08:00,2,2,0.75,0.8,1.5,0.094,0.0,0.0,4
20,2026-03-16T13:00,2026-03-16T15:00,3,2,0.333,0.5,1.0,0.458,0.611,0.0,9
21,2026-03-17T01:00,2026-03-17T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
22,2026-03-17T05:00,2026-03-17T16:00,12,12,1.158,2.4,13.9,0.618,0.06,0.0028,12
23,2026-03-18T05:00,2026-03-18T09:00,5,4,0.64,0.9,3.2,0.501,0.0,0.0,204
24,2026-03-26T22:00,2026-03-26T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,68
25,2026-03-29T19:00,2026-03-30T10:00,16,16,1.025,2.0,16.4,0.519,0.051,0.0025,44
26,2026-04-01T07:00,2026-04-01T08:00,2,2,0.9,1.3,1.8,0.629,1.0,0.0045,46
27,2026-04-03T07:00,2026-04-03T08:00,2,2,0.5,0.5,1.0,0.0,0.1,0.0,123
28,2026-04-08T12:00,2026-04-08T12:00,1,1,4.2,4.2,4.2,0.0,1.0,0.316,8
29,2026-04-08T21:00,2026-04-09T04:00,8,6,1.15,3.7,9.2,1.088,0.027,0.077,2
30,2026-04-09T07:00,2026-04-09T09:00,3,3,1.067,1.8,3.2,0.704,0.0,0.0,48
31,2026-04-11T10:00,2026-04-11T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
32,2026-04-11T13:00,2026-04-11T14:00,2,2,0.5,0.6,1.0,0.283,0.334,0.0,10
33,2026-04-12T01:00,2026-04-12T03:00,3,3,0.433,0.5,1.3,0.133,0.167,0.0,33
34,2026-04-13T13:00,2026-04-13T17:00,5,5,0.7,1.3,3.5,0.562,0.384,0.0004,2
35,2026-04-13T20:00,2026-04-13T21:00,2,2,0.6,0.7,1.2,0.236,0.2,0.0,53
36,2026-04-16T03:00,2026-04-16T04:00,2,2,0.4,0.4,0.8,0.0,0.75,0.0,2
37,2026-04-16T07:00,2026-04-16T10:00,4,4,0.425,0.5,1.7,0.118,0.0,0.0,124
38,2026-04-21T15:00,2026-04-22T00:00,10,9,0.84,1.9,8.4,0.581,0.079,0.0022,3
39,2026-04-22T04:00,2026-04-22T21:00,18,18,0.7,2.8,12.6,0.847,0.169,0.0022,3
40,2026-04-23T01:00,2026-04-23T02:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,108
41,2026-04-27T15:00,2026-04-27T16:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
42,2026-04-27T19:00,2026-04-29T02:00,32,30,0.756,1.5,24.2,0.48,0.0,0.0006,71
43,2026-05-02T02:00,2026-05-02T14:00,13,12,0.6,1.1,7.8,0.531,0.096,0.0003,387
44,2026-05-18T18:00,2026-05-19T05:00,12,12,1.25,2.5,15.0,0.565,0.281,0.0105,2
45,2026-05-19T08:00,2026-05-19T10:00,3,3,0.5,0.7,1.5,0.4,0.206,0.0,2
46,2026-05-19T13:00,2026-05-19T20:00,8,8,0.938,1.7,7.5,0.522,0.448,0.005,2
47,2026-05-19T23:00,2026-05-20T05:00,7,7,1.186,3.6,8.3,0.956,0.57,0.0325,54
48,2026-05-22T12:00,2026-05-22T14:00,3,2,0.567,1.2,1.7,1.003,0.528,0.0175,31
49,2026-05-23T22:00,2026-05-23T23:00,2,2,0.45,0.6,0.9,0.471,0.167,0.0,2
50,2026-05-24T02:00,2026-05-24T08:00,7,7,1.4,4.9,9.8,1.138,0.508,0.3705,16
51,2026-05-25T01:00,2026-05-25T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
52,2026-05-25T05:00,2026-05-25T21:00,17,14,1.724,5.0,29.3,0.817,0.461,0.3315,2
53,2026-05-26T00:00,2026-05-26T01:00,2,2,0.5,0.6,1.0,0.283,0.625,0.0,142
54,2026-06-01T00:00,2026-06-01T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,51
55,2026-06-03T04:00,2026-06-03T07:00,4,3,2.5,4.0,10.0,0.712,0.47,0.1237,6
56,2026-06-03T14:00,2026-06-03T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
57,2026-06-03T19:00,2026-06-03T21:00,3,3,0.567,0.9,1.7,0.539,0.037,0.0,3
58,2026-06-04T01:00,2026-06-04T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,90
59,2026-06-07T20:00,2026-06-07T21:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,124
60,2026-06-13T02:00,2026-06-13T02:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,134
61,2026-06-18T17:00,2026-06-19T10:00,18,18,2.272,5.4,40.9,0.6,0.383,0.3412,2
62,2026-06-19T13:00,2026-06-19T13:00,1,1,0.7,0.7,0.7,0.0,0.286,0.0,43
63,2026-06-21T09:00,2026-06-22T14:00,30,28,2.537,10.6,76.1,1.113,0.385,0.1757,2
64,2026-06-22T17:00,2026-06-22T18:00,2,2,0.65,1.0,1.3,0.761,0.0,0.0,4
65,2026-06-22T23:00,2026-06-23T01:00,3,3,0.767,1.6,2.3,0.944,0.431,0.0008,5
66,2026-06-23T07:00,2026-06-23T10:00,4,4,0.475,0.7,1.9,0.434,0.0,0.0,67
67,2026-06-26T06:00,2026-06-26T06:00,1,1,1.2,1.2,1.2,0.0,0.667,0.0047,87
68,2026-06-29T22:00,2026-06-29T23:00,2,2,0.45,0.6,0.9,0.471,0.334,0.0,4
69,2026-06-30T04:00,2026-06-30T05:00,2,2,0.95,1.0,1.9,0.074,0.439,0.0,6
70,2026-06-30T12:00,2026-06-30T18:00,7,7,0.886,1.5,6.2,0.481,0.216,0.0019,10
71,2026-07-01T05:00,2026-07-01T06:00,2,2,0.55,0.8,1.1,0.643,0.0,0.0,3
72,2026-07-01T10:00,2026-07-01T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
73,2026-07-02T08:00,2026-07-02T09:00,2,2,0.5,0.6,1.0,0.283,0.167,0.0,9
74,2026-07-02T19:00,2026-07-03T03:00,9,9,4.789,21.8,43.1,1.489,0.405,0.3754,6
75,2026-07-03T10:00,2026-07-04T08:00,23,19,0.917,3.8,21.1,0.978,0.225,0.382,2
76,2026-07-04T11:00,2026-07-04T20:00,10,9,1.2,4.1,12.0,1.205,0.143,0.279,3
77,2026-07-05T00:00,2026-07-05T06:00,7,7,0.843,1.6,5.9,0.604,0.271,0.1373,21
78,2026-07-06T04:00,2026-07-06T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
