event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-27T11:00,2026-03-27T13:00,3,3,1.0,1.3,3.0,0.361,0.194,0.0004,412
1,2026-04-13T18:00,2026-04-13T18:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,415
2,2026-05-01T02:00,2026-05-01T04:00,3,3,0.467,0.6,1.4,0.327,0.222,0.0,28
3,2026-05-02T09:00,2026-05-02T11:00,3,2,0.933,2.4,2.8,1.365,1.0,0.0017,307
4,2026-05-15T07:00,2026-05-15T09:00,3,3,0.467,0.6,1.4,0.327,0.0,0.0,3
5,2026-05-15T13:00,2026-05-15T17:00,5,5,1.26,2.2,6.3,0.574,0.281,0.0,115
6,2026-05-20T13:00,2026-05-20T14:00,2,2,0.85,1.0,1.7,0.25,0.75,0.0,25
7,2026-05-21T16:00,2026-05-21T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,38
8,2026-05-23T07:00,2026-05-23T08:00,2,2,0.4,0.4,0.8,0.0,0.75,0.0,18
9,2026-05-24T03:00,2026-05-24T12:00,10,10,1.94,2.9,19.4,0.366,0.457,0.008,601
10,2026-06-18T14:00,2026-06-18T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,14
11,2026-06-19T05:00,2026-06-19T05:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,14
12,2026-06-19T20:00,2026-06-19T23:00,4,4,0.575,0.7,2.3,0.261,0.489,0.0,463
13,2026-07-09T07:00,2026-07-09T07:00,1,1,0.9,0.9,0.9,0.0,0.444,0.0,6
14,2026-07-09T14:00,2026-07-09T15:00,2,2,0.6,0.8,1.2,0.471,0.375,0.0,2
15,2026-07-09T18:00,2026-07-09T20:00,3,3,1.067,1.6,3.2,0.472,0.548,0.102,22
16,2026-07-10T19:00,2026-07-11T12:00,18,18,1.189,2.0,21.4,0.368,0.178,0.0175,47
17,2026-07-13T12:00,2026-07-14T02:00,15,15,2.767,5.8,41.5,0.565,0.195,0.0911,42
18,2026-07-15T21:00,2026-07-16T04:00,8,8,1.413,2.5,11.3,0.553,0.047,0.022,38
19,2026-07-17T19:00,2026-07-17T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,74
20,2026-07-20T22:00,2026-07-20T22:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,126
21,2026-07-26T05:00,2026-07-26T05:00,1,1,0.9,0.9,0.9,0.0,0.222,0.0,4
22,2026-07-26T10:00,2026-07-26T10:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,16
23,2026-07-27T03:00,2026-07-27T04:00,2,2,0.65,0.8,1.3,0.326,0.263,0.0,23
24,2026-07-28T04:00,2026-07-28T08:00,5,3,0.22,0.3,1.1,0.498,0.667,0.0,62
25,2026-07-30T23:00,2026-07-31T01:00,3,3,0.967,1.3,2.9,0.51,0.601,0.0,47
26,2026-08-02T01:00,2026-08-02T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,-1
