event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T02:00,2026-01-18T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,32
1,2026-01-19T11:00,2026-01-19T13:00,3,3,0.0,0.0,0.0,0.0,0.0,0.0,237
2,2026-01-29T11:00,2026-01-29T14:00,4,4,0.55,0.8,2.2,0.433,0.0,0.0,593
3,2026-02-23T08:00,2026-02-23T12:00,5,5,0.66,1.1,3.3,0.449,0.184,0.0,4
4,2026-02-23T17:00,2026-02-23T18:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,42
5,2026-02-25T13:00,2026-02-25T19:00,7,7,1.471,3.1,10.3,0.761,0.14,0.0,56
6,2026-02-28T04:00,2026-02-28T04:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
7,2026-02-28T09:00,2026-02-28T14:00,6,6,0.633,1.0,3.8,0.465,0.0,0.0,5
8,2026-02-28T20:00,2026-02-28T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
9,2026-03-01T00:00,2026-03-01T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
10,2026-03-01T04:00,2026-03-01T10:00,7,7,0.429,0.5,3.0,0.222,0.0,0.0,2
11,2026-03-01T13:00,2026-03-01T16:00,4,4,0.45,0.6,1.8,0.287,0.0,0.0,221
12,2026-03-10T22:00,2026-03-10T23:00,2,2,0.45,0.6,0.9,0.471,1.0,0.0,54
13,2026-03-13T06:00,2026-03-13T06:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,30
14,2026-03-14T13:00,2026-03-14T19:00,7,7,0.843,1.2,5.9,0.368,0.0,0.0,15
15,2026-03-15T11:00,2026-03-15T14:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,36
16,2026-03-17T03:00,2026-03-17T09:00,7,7,0.971,1.7,6.8,0.578,0.0,0.0,295
17,2026-03-29T17:00,2026-03-30T07:00,15,15,1.093,2.1,16.4,0.493,0.04,0.0079,30
18,2026-03-31T14:00,2026-03-31T14:00,1,1,1.9,1.9,1.9,0.0,0.947,0.0,124
19,2026-04-05T19:00,2026-04-05T19:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0317,54
20,2026-04-08T02:00,2026-04-08T13:00,12,12,2.033,6.2,24.4,0.792,0.405,0.1505,98
21,2026-04-12T16:00,2026-04-12T16:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,71
22,2026-04-15T16:00,2026-04-15T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
23,2026-04-15T19:00,2026-04-15T22:00,4,4,0.4,0.4,1.6,0.0,0.25,0.0,85
24,2026-04-19T12:00,2026-04-19T14:00,3,3,1.5,2.5,4.5,0.667,0.56,0.0456,3
25,2026-04-19T18:00,2026-04-19T18:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,30
26,2026-04-21T01:00,2026-04-21T03:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,5
27,2026-04-21T09:00,2026-04-21T16:00,8,8,1.512,2.4,12.1,0.464,0.029,0.0016,119
28,2026-04-26T16:00,2026-04-26T16:00,1,1,2.9,2.9,2.9,0.0,0.966,0.1662,118
29,2026-05-01T15:00,2026-05-01T18:00,4,4,0.825,1.3,3.3,0.499,0.0,0.0008,7
30,2026-05-02T02:00,2026-05-02T05:00,4,4,1.4,2.4,5.6,0.606,0.0,0.0,104
31,2026-05-06T14:00,2026-05-06T15:00,2,2,0.4,0.5,0.8,0.354,0.834,0.0,176
32,2026-05-14T00:00,2026-05-14T00:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,8
33,2026-05-14T09:00,2026-05-14T10:00,2,2,0.8,1.0,1.6,0.354,0.0,0.0,49
34,2026-05-16T12:00,2026-05-16T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
35,2026-05-16T23:00,2026-05-16T23:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,7
36,2026-05-17T07:00,2026-05-18T01:00,19,17,1.716,4.2,32.6,0.696,0.28,0.0446,2
37,2026-05-18T04:00,2026-05-18T17:00,14,14,1.207,2.8,16.9,0.542,0.476,0.0022,13
38,2026-05-19T07:00,2026-05-20T01:00,19,18,1.268,3.4,24.1,0.659,0.119,0.009,89
39,2026-05-23T19:00,2026-05-23T22:00,4,4,1.075,2.1,4.3,0.646,0.414,0.0729,27
40,2026-05-25T02:00,2026-05-25T08:00,7,7,0.657,1.6,4.6,0.76,0.345,0.057,224
41,2026-06-03T17:00,2026-06-03T18:00,2,2,1.3,2.1,2.6,0.87,0.495,0.1004,51
42,2026-06-05T22:00,2026-06-06T00:00,3,3,1.267,2.6,3.8,0.942,0.259,0.076,7
43,2026-06-06T08:00,2026-06-06T10:00,3,3,1.067,2.1,3.2,0.84,0.413,0.1183,10
44,2026-06-06T21:00,2026-06-07T00:00,4,4,0.85,1.1,3.4,0.366,0.028,0.0,66
45,2026-06-09T19:00,2026-06-09T19:00,1,1,0.8,0.8,0.8,0.0,0.625,0.0,62
46,2026-06-12T10:00,2026-06-12T11:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,147
47,2026-06-18T15:00,2026-06-19T12:00,22,20,1.314,3.1,28.9,0.684,0.322,0.034,42
48,2026-06-21T07:00,2026-06-21T10:00,4,4,0.925,1.5,3.7,0.502,0.353,0.0131,9
49,2026-06-21T20:00,2026-06-21T21:00,2,2,0.6,0.7,1.2,0.236,0.0,0.0,2
50,2026-06-22T00:00,2026-06-22T02:00,3,3,0.433,0.6,1.3,0.353,0.056,0.0,4
51,2026-06-22T07:00,2026-06-22T07:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,27
52,2026-06-23T11:00,2026-06-23T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,95
53,2026-06-27T11:00,2026-06-27T11:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
54,2026-06-27T17:00,2026-06-27T18:00,2,2,1.75,2.0,3.5,0.202,0.15,0.07,38
55,2026-06-29T09:00,2026-06-29T11:00,3,3,0.9,1.9,2.7,0.969,0.269,0.1474,89
56,2026-07-03T05:00,2026-07-03T07:00,3,3,1.267,2.2,3.8,0.75,0.3,0.066,47
57,2026-07-05T07:00,2026-07-05T10:00,4,4,0.65,0.9,2.6,0.407,0.583,0.0,19
58,2026-07-06T06:00,2026-07-06T09:00,4,4,0.7,1.1,2.8,0.387,0.474,0.025,25
59,2026-07-07T11:00,2026-07-07T11:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,44
60,2026-07-09T08:00,2026-07-09T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,22
61,2026-07-10T07:00,2026-07-10T07:00,1,1,1.3,1.3,1.3,0.0,0.615,0.0679,47
62,2026-07-12T07:00,2026-07-12T08:00,2,2,0.7,1.1,1.4,0.808,0.0,0.0031,53
63,2026-07-14T14:00,2026-07-14T15:00,2,2,0.7,1.0,1.4,0.606,0.0,0.0,10
64,2026-07-15T02:00,2026-07-15T06:00,5,5,0.42,0.7,2.1,0.426,0.72,0.0,6
65,2026-07-15T13:00,2026-07-15T14:00,2,2,0.35,0.4,0.7,0.202,0.125,0.0,2
66,2026-07-15T17:00,2026-07-15T21:00,5,5,0.74,1.5,3.7,0.594,0.505,0.125,10
67,2026-07-16T08:00,2026-07-16T12:00,5,5,1.8,4.2,9.0,0.806,0.431,0.664,4
68,2026-07-16T17:00,2026-07-16T17:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,5
69,2026-07-16T23:00,2026-07-16T23:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
70,2026-07-17T03:00,2026-07-17T05:00,3,3,0.8,0.9,2.4,0.217,0.5,0.0,50
