time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,2.4,0.11,0.8,243,100,6720.0,1,0.149
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,3.9,0.74,2.0,200,100,6720.0,1,0.149
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,40.0,6.8,0.75,3.0,217,95,8620.0,1,0.149
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,120.0,11.0,0.85,3.7,270,100,10740.0,1,0.149
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,225.0,13.1,1.36,4.5,262,100,10740.0,1,0.148
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,295.0,13.9,1.84,5.0,257,100,11440.0,1,0.147
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,420.0,14.5,2.46,5.4,275,100,11440.0,1,0.147
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,460.0,14.3,2.44,5.9,293,98,11440.0,1,0.146
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,385.0,13.7,2.08,5.7,294,100,11440.0,1,0.146
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,105.0,12.1,1.36,4.6,264,100,10740.0,1,0.146
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,90.0,10.7,2.42,4.3,240,100,10740.0,0,0.145
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,160.0,10.2,3.35,6.2,253,100,10740.0,0,0.145
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,140.0,10.0,3.05,6.1,252,92,11440.0,0,0.139
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,215.0,9.8,4.06,7.1,266,0,12020.0,0,0.138
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,8.6,4.25,7.6,271,0,12020.0,0,0.138
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,185.0,7.8,4.0,7.6,269,0,12020.0,0,0.138
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,185.0,7.2,4.12,7.3,276,0,11420.0,0,0.138
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,6.7,3.87,7.4,275,0,11420.0,0,0.137
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,110.0,6.0,3.35,6.8,272,0,10720.0,0,0.138
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,5.4,3.15,5.9,269,0,11420.0,0,0.138
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,4.6,2.84,5.5,261,0,10720.0,0,0.138
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,65.0,3.6,2.69,5.0,255,0,9880.0,0,0.138
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,3.0,2.71,4.8,245,0,8600.0,0,0.138
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,2.5,2.57,4.8,233,0,7780.0,0,0.138
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,2.8,2.55,4.5,222,0,7780.0,1,0.139
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,4.8,2.42,4.8,210,0,8600.0,1,0.139
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,115.0,7.9,1.41,4.6,207,0,9860.0,1,0.139
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,160.0,10.9,1.43,4.7,209,0,10720.0,1,0.138
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,13.9,1.41,4.9,197,0,11400.0,1,0.137
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,255.0,16.2,1.61,5.1,185,0,11980.0,1,0.136
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,590.0,18.4,2.15,5.7,180,0,12060.0,1,0.129
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1010.0,19.1,2.8,6.5,178,0,13440.0,1,0.128
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,705.0,18.4,3.4,7.0,183,0,13500.0,1,0.128
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,145.0,16.0,2.99,6.5,170,0,12160.0,1,0.127
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,13.3,3.84,6.5,162,2,12120.0,0,0.127
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,135.0,12.1,4.42,7.7,164,27,13540.0,0,0.126
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,140.0,11.1,4.51,8.0,163,78,13540.0,0,0.093
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,140.0,11.2,4.2,8.2,168,94,13480.0,0,0.093
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,185.0,10.6,4.24,7.5,172,98,12040.0,0,0.093
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,160.0,10.0,3.9,7.7,180,50,11980.0,0,0.093
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,8.6,3.3,6.9,182,0,11980.0,0,0.093
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,7.5,3.62,6.3,174,0,11420.0,0,0.093
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,7.1,3.41,6.4,175,0,11440.0,0,0.069
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,6.7,3.05,5.9,178,0,11440.0,0,0.069
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,6.0,2.95,5.4,179,0,11460.0,0,0.069
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,5.5,2.31,5.3,186,0,10700.0,0,0.069
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,4.2,1.32,4.1,191,0,10680.0,0,0.069
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,3.6,1.1,2.1,175,0,10680.0,0,0.069
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,4.1,1.0,1.9,217,0,9840.0,1,0.068
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,6.5,0.72,2.3,304,0,10680.0,1,0.068
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,160.0,10.3,2.04,5.0,343,0,11360.0,1,0.068
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,350.0,12.1,3.47,8.2,353,0,11960.0,1,0.068
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,460.0,12.8,4.4,10.0,360,0,11960.0,1,0.068
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,560.0,12.2,5.58,12.3,6,0,11960.0,1,0.068
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,580.0,10.9,6.08,13.3,6,0,11960.0,1,0.075
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,605.0,9.7,6.17,13.5,8,0,11940.0,1,0.075
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,640.0,8.6,6.13,13.4,9,0,11940.0,1,0.075
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,655.0,7.4,5.72,13.1,12,0,11360.0,1,0.075
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,660.0,6.2,5.27,11.9,12,0,11360.0,0,0.075
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,655.0,5.5,5.17,10.5,17,0,11360.0,0,0.075
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,595.0,5.3,4.92,9.9,15,40,11360.0,0,0.082
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,530.0,4.6,4.97,9.5,21,92,10660.0,0,0.082
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,505.0,4.0,4.8,9.5,22,95,10660.0,0,0.082
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,485.0,3.3,4.7,9.2,21,97,10660.0,0,0.082
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,445.0,2.7,4.35,9.1,19,100,10660.0,0,0.082
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,420.0,2.1,4.26,8.3,22,100,10660.0,0,0.082
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,390.0,1.6,4.39,8.5,23,93,9820.0,0,0.082
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,395.0,1.0,4.25,8.4,28,0,9820.0,0,0.082
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,375.0,0.5,3.68,8.0,37,0,9820.0,0,0.082
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,-0.1,3.41,6.9,40,0,9820.0,0,0.082
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,325.0,-0.5,2.86,6.4,36,0,8540.0,0,0.082
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,-1.0,2.93,5.5,30,13,8540.0,0,0.082
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,360.0,-0.8,3.62,6.3,33,96,8540.0,1,0.079
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,470.0,0.4,3.85,8.3,44,100,9820.0,1,0.079
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,540.0,1.6,3.61,8.6,56,100,10660.0,1,0.079
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,565.0,2.8,3.2,8.4,61,100,10660.0,1,0.079
2026-01-17T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,565.0,3.7,2.89,7.8,62,100,11360.0,1,0.079
2026-01-17T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,580.0,4.5,2.51,7.3,61,100,11360.0,1,0.079
2026-01-17T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,740.0,4.2,2.45,6.5,92,100,10660.0,1,0.097
2026-01-17T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,795.0,5.1,2.93,7.0,99,100,10660.0,1,0.097
2026-01-17T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,795.0,5.4,3.23,7.4,103,100,10660.0,1,0.097
2026-01-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,775.0,5.2,3.31,7.3,101,100,10660.0,1,0.097
2026-01-17T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,710.0,5.0,2.8,7.2,100,100,10660.0,0,0.097
2026-01-17T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,525.0,5.0,2.12,5.5,82,100,10660.0,0,0.097
2026-01-17T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,142.0,120.0,3.6,2.16,4.0,5,100,9820.0,0,0.124
2026-01-17T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,145.0,3.0,3.0,5.7,360,100,9820.0,0,0.124
2026-01-17T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,165.0,2.8,3.2,6.2,3,100,9820.0,0,0.124
2026-01-17T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,185.0,2.9,2.72,6.2,13,100,9820.0,0,0.124
2026-01-17T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,185.0,3.1,2.72,5.2,17,100,9820.0,0,0.124
2026-01-17T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,205.0,3.3,2.75,5.4,16,100,10660.0,0,0.123
2026-01-17T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,163.0,195.0,2.6,2.54,6.3,350,100,9820.0,0,0.14
2026-01-17T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,225.0,2.7,3.26,6.5,4,100,9820.0,0,0.14
2026-01-17T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,275.0,2.7,3.15,6.6,3,100,9820.0,0,0.139
2026-01-17T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,290.0,2.4,3.1,6.3,1,100,9340.0,0,0.139
2026-01-17T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,310.0,2.1,3.06,6.3,356,100,7520.0,0,0.139
2026-01-17T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,355.0,2.2,3.85,7.6,13,100,7140.0,0,0.14
