event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T09:00,2026-01-19T09:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2
1,2026-01-19T12:00,2026-01-19T18:00,7,7,0.0,0.0,0.0,0.0,0.012,0.0,229
2,2026-01-29T08:00,2026-01-29T14:00,7,7,0.657,1.1,4.6,0.472,0.0,0.0,402
3,2026-02-15T09:00,2026-02-15T11:00,3,3,0.767,1.4,2.3,0.718,0.0,0.0,185
4,2026-02-23T05:00,2026-02-23T17:00,13,12,0.669,1.6,8.7,0.614,0.103,0.0,42
5,2026-02-25T12:00,2026-02-25T17:00,6,6,1.117,2.2,6.7,0.657,0.559,0.009,61
6,2026-02-28T07:00,2026-03-01T15:00,33,29,0.591,1.5,19.5,0.565,0.002,0.0,121
7,2026-03-06T17:00,2026-03-06T17:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,187
8,2026-03-14T13:00,2026-03-14T19:00,7,7,0.8,1.0,5.6,0.26,0.0,0.0,11
9,2026-03-15T07:00,2026-03-15T13:00,7,7,0.414,0.5,2.9,0.091,0.0,0.0,36
10,2026-03-17T02:00,2026-03-17T08:00,7,7,1.329,3.3,9.3,0.751,0.186,0.0,47
11,2026-03-19T08:00,2026-03-19T08:00,1,1,1.7,1.7,1.7,0.0,1.0,0.0,50
12,2026-03-21T11:00,2026-03-21T11:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,197
13,2026-03-29T17:00,2026-03-30T05:00,13,13,0.869,1.8,11.3,0.528,0.04,0.007,2
14,2026-03-30T08:00,2026-03-30T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,74
15,2026-04-02T11:00,2026-04-02T12:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,51
16,2026-04-04T16:00,2026-04-04T16:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,80
17,2026-04-08T01:00,2026-04-08T05:00,5,4,2.28,8.2,11.4,1.466,0.633,0.1,5
18,2026-04-08T11:00,2026-04-08T12:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,74
19,2026-04-11T15:00,2026-04-11T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,45
20,2026-04-13T13:00,2026-04-13T15:00,3,3,0.5,0.6,1.5,0.2,0.0,0.0,52
21,2026-04-15T20:00,2026-04-15T22:00,3,3,0.867,1.3,2.6,0.437,0.172,0.0,5
22,2026-04-16T04:00,2026-04-16T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,79
23,2026-04-19T12:00,2026-04-19T14:00,3,3,2.967,7.8,8.9,1.411,0.596,0.08,18
24,2026-04-20T09:00,2026-04-20T10:00,2,2,0.4,0.4,0.8,0.0,0.25,0.0,6
25,2026-04-20T17:00,2026-04-20T18:00,2,2,0.65,0.8,1.3,0.326,0.0,0.0,6
26,2026-04-21T01:00,2026-04-21T02:00,2,2,0.65,0.9,1.3,0.544,0.0,0.0,6
27,2026-04-21T09:00,2026-04-21T16:00,8,8,1.85,3.1,14.8,0.556,0.15,0.0026,133
28,2026-04-27T06:00,2026-04-27T09:00,4,4,4.95,15.4,19.8,1.418,0.326,0.2,3
29,2026-04-27T13:00,2026-04-27T13:00,1,1,1.2,1.2,1.2,0.0,0.0,0.006,10
30,2026-04-28T00:00,2026-04-28T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
31,2026-04-28T07:00,2026-04-28T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,82
32,2026-05-01T18:00,2026-05-01T19:00,2,2,0.95,1.1,1.9,0.223,0.0,0.0,5
33,2026-05-02T01:00,2026-05-02T05:00,5,5,1.4,2.1,7.0,0.487,0.082,0.0,106
34,2026-05-06T16:00,2026-05-06T16:00,1,1,1.2,1.2,1.2,0.0,0.917,0.0,2
