event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-05T12:00,2026-02-05T12:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,3
1,2026-02-05T16:00,2026-02-05T16:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,46
2,2026-02-07T15:00,2026-02-08T10:00,20,20,0.635,1.5,12.7,0.56,0.0,0.0,3
3,2026-02-08T14:00,2026-02-08T17:00,4,4,0.425,0.6,1.7,0.353,0.0,0.0,2
4,2026-02-08T20:00,2026-02-08T20:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,10
5,2026-02-09T07:00,2026-02-09T08:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,225
6,2026-02-18T18:00,2026-02-18T18:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,122
7,2026-02-23T21:00,2026-02-23T22:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,65
8,2026-02-26T16:00,2026-02-26T19:00,4,4,1.55,3.1,6.2,0.733,1.0,0.0,43
9,2026-02-28T15:00,2026-02-28T18:00,4,4,0.425,0.6,1.7,0.296,0.0,0.0,3
10,2026-02-28T22:00,2026-02-28T22:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,45
11,2026-03-02T20:00,2026-03-03T01:00,6,6,0.5,0.7,3.0,0.283,0.0,0.0,40
12,2026-03-04T18:00,2026-03-04T18:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
13,2026-03-04T22:00,2026-03-04T23:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,19
14,2026-03-05T19:00,2026-03-05T20:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,4
15,2026-03-06T01:00,2026-03-06T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
16,2026-03-06T23:00,2026-03-06T23:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,13
17,2026-03-07T13:00,2026-03-07T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
18,2026-03-08T09:00,2026-03-08T12:00,4,3,0.325,0.5,1.3,0.525,0.0,0.0,3
19,2026-03-08T16:00,2026-03-08T20:00,5,5,0.56,0.8,2.8,0.348,0.12,0.0,114
20,2026-03-13T15:00,2026-03-13T20:00,6,6,0.733,1.0,4.4,0.33,0.0,0.0,46
21,2026-03-15T19:00,2026-03-15T22:00,4,4,0.875,1.2,3.5,0.328,0.05,0.0,14
22,2026-03-16T13:00,2026-03-16T14:00,2,2,0.65,0.8,1.3,0.326,0.9,0.0,24
23,2026-03-17T15:00,2026-03-17T17:00,3,3,0.4,0.6,1.2,0.433,0.0,0.0,69
24,2026-03-20T15:00,2026-03-20T17:00,3,3,0.4,0.6,1.2,0.433,1.0,0.0,92
25,2026-03-24T14:00,2026-03-24T15:00,2,2,1.7,2.1,3.4,0.333,1.0,0.0,48
26,2026-03-26T16:00,2026-03-26T16:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0,12
27,2026-03-27T05:00,2026-03-27T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,9
28,2026-03-27T15:00,2026-03-27T22:00,8,7,0.812,2.7,6.5,1.009,0.333,0.017,15
29,2026-03-28T14:00,2026-03-28T18:00,5,5,1.96,3.2,9.8,0.579,1.0,0.0083,3
30,2026-03-28T22:00,2026-03-28T23:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,3
31,2026-03-29T03:00,2026-03-29T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,32
32,2026-03-30T12:00,2026-03-30T17:00,6,6,1.75,2.8,10.5,0.512,0.107,0.0045,45
33,2026-04-01T15:00,2026-04-01T16:00,2,2,1.65,2.7,3.3,0.9,1.0,0.0,2
34,2026-04-01T19:00,2026-04-01T19:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,19
35,2026-04-02T15:00,2026-04-02T17:00,3,3,2.1,2.9,6.3,0.436,0.674,0.0,49
36,2026-04-04T19:00,2026-04-04T19:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,20
37,2026-04-05T16:00,2026-04-05T21:00,6,6,1.733,4.2,10.4,0.91,0.401,0.036,4
38,2026-04-06T02:00,2026-04-06T09:00,8,8,0.662,0.9,5.3,0.241,0.14,0.0,4
39,2026-04-06T14:00,2026-04-06T19:00,6,6,0.7,1.7,4.2,0.717,0.105,0.007,73
40,2026-04-09T21:00,2026-04-09T21:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,2
41,2026-04-10T00:00,2026-04-10T05:00,6,5,0.917,1.7,5.5,0.751,0.458,0.0446,10
42,2026-04-10T16:00,2026-04-10T17:00,2,2,0.75,0.8,1.5,0.094,0.938,0.0,13
43,2026-04-11T07:00,2026-04-11T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,9
44,2026-04-11T17:00,2026-04-11T22:00,6,6,1.067,1.9,6.4,0.571,0.737,0.0,19
45,2026-04-12T18:00,2026-04-12T21:00,4,4,0.9,1.2,3.6,0.327,0.415,0.001,3
46,2026-04-13T01:00,2026-04-13T01:00,1,1,0.7,0.7,0.7,0.0,0.286,0.0,12
47,2026-04-13T14:00,2026-04-13T20:00,7,7,1.186,3.3,8.3,1.027,0.67,0.0201,17
48,2026-04-14T14:00,2026-04-14T20:00,7,5,0.371,0.6,2.6,0.403,0.321,0.0,22
49,2026-04-15T19:00,2026-04-15T22:00,4,4,0.4,0.6,1.6,0.354,0.104,0.0,17
50,2026-04-16T16:00,2026-04-16T16:00,1,1,1.2,1.2,1.2,0.0,0.167,0.0,57
51,2026-04-19T02:00,2026-04-19T02:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
52,2026-04-19T11:00,2026-04-19T12:00,2,2,0.9,1.2,1.8,0.471,0.916,0.017,30
53,2026-04-20T19:00,2026-04-20T19:00,1,1,0.9,0.9,0.9,0.0,0.333,0.0,21
54,2026-04-21T17:00,2026-04-21T19:00,3,3,0.7,1.1,2.1,0.515,0.581,0.0003,46
55,2026-04-23T18:00,2026-04-23T18:00,1,1,1.3,1.3,1.3,0.0,1.0,0.0008,49
56,2026-04-25T20:00,2026-04-25T20:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
57,2026-04-26T00:00,2026-04-26T00:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,18
58,2026-04-26T19:00,2026-04-26T20:00,2,2,0.4,0.4,0.8,0.0,0.375,0.0,4
59,2026-04-27T01:00,2026-04-27T02:00,2,2,0.7,1.1,1.4,0.808,0.228,0.0005,7
60,2026-04-27T10:00,2026-04-27T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
61,2026-04-27T17:00,2026-04-28T08:00,16,15,0.519,0.8,8.3,0.446,0.008,0.0,56
62,2026-04-30T17:00,2026-04-30T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
63,2026-05-01T13:00,2026-05-01T16:00,4,3,0.35,0.6,1.4,0.595,0.0,0.0,23
64,2026-05-02T16:00,2026-05-02T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,86
65,2026-05-06T07:00,2026-05-06T07:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,138
66,2026-05-12T02:00,2026-05-12T02:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,56
67,2026-05-14T11:00,2026-05-14T13:00,3,3,1.967,3.1,5.9,0.499,0.846,0.0026,5
68,2026-05-14T19:00,2026-05-14T21:00,3,3,2.167,3.4,6.5,0.66,0.597,0.0019,3
69,2026-05-15T01:00,2026-05-15T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,14
70,2026-05-15T16:00,2026-05-15T17:00,2,2,1.05,1.6,2.1,0.741,0.7,0.0023,26
71,2026-05-16T20:00,2026-05-16T22:00,3,3,0.867,1.6,2.6,0.742,0.798,0.0038,8
72,2026-05-17T07:00,2026-05-17T09:00,3,3,0.433,0.5,1.3,0.133,0.0,0.0,6
73,2026-05-17T16:00,2026-05-17T20:00,5,4,0.44,0.7,2.2,0.523,0.279,0.0,4
74,2026-05-18T01:00,2026-05-18T02:00,2,2,0.3,0.3,0.6,0.0,0.666,0.0,64
75,2026-05-20T19:00,2026-05-21T00:00,6,6,0.45,0.8,2.7,0.416,0.139,0.0,8
76,2026-05-21T09:00,2026-05-21T09:00,1,1,0.8,0.8,0.8,0.0,0.25,0.0,3
77,2026-05-21T13:00,2026-05-21T18:00,6,6,2.583,6.0,15.5,0.897,0.691,0.3608,22
78,2026-05-22T17:00,2026-05-23T01:00,9,7,0.978,2.7,8.8,0.838,0.41,0.1509,14
79,2026-05-23T16:00,2026-05-23T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
80,2026-05-23T19:00,2026-05-23T19:00,1,1,1.2,1.2,1.2,0.0,0.5,0.0317,3
81,2026-05-23T23:00,2026-05-24T04:00,6,5,0.367,0.6,2.2,0.411,0.483,0.0,2
82,2026-05-24T07:00,2026-05-24T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
83,2026-05-24T14:00,2026-05-24T15:00,2,2,0.55,0.7,1.1,0.386,0.41,0.0,4
84,2026-05-24T20:00,2026-05-24T20:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,29
85,2026-05-26T02:00,2026-05-26T03:00,2,2,1.2,1.9,2.4,0.825,0.5,0.0675,15
86,2026-05-26T19:00,2026-05-26T19:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,5
87,2026-05-27T01:00,2026-05-27T01:00,1,1,1.0,1.0,1.0,0.0,0.3,0.0,243
88,2026-06-06T05:00,2026-06-06T06:00,2,2,0.55,0.7,1.1,0.386,0.071,0.0,5
89,2026-06-06T12:00,2026-06-06T20:00,9,8,5.0,13.9,45.0,1.038,0.618,0.245,2
90,2026-06-06T23:00,2026-06-07T02:00,4,3,1.25,3.7,5.0,1.349,0.23,0.0068,11
91,2026-06-07T14:00,2026-06-07T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
92,2026-06-07T17:00,2026-06-07T22:00,6,6,0.733,1.3,4.4,0.522,0.0,0.0,2
93,2026-06-08T01:00,2026-06-08T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,112
94,2026-06-12T18:00,2026-06-12T20:00,3,3,0.833,1.5,2.5,0.703,0.0,0.0,74
95,2026-06-15T23:00,2026-06-16T00:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,18
96,2026-06-16T19:00,2026-06-17T02:00,8,8,0.975,2.8,7.8,0.811,0.332,0.0067,19
97,2026-06-17T22:00,2026-06-18T00:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,54
98,2026-06-20T07:00,2026-06-20T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
99,2026-06-20T10:00,2026-06-20T12:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,3
100,2026-06-20T16:00,2026-06-21T05:00,14,14,2.029,3.3,28.4,0.465,0.349,0.0032,10
101,2026-06-21T16:00,2026-06-21T19:00,4,4,0.675,1.0,2.7,0.442,0.433,0.0,3
102,2026-06-21T23:00,2026-06-22T01:00,3,2,0.267,0.4,0.8,0.573,0.0,0.0,29
103,2026-06-23T07:00,2026-06-23T07:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,18
104,2026-06-24T02:00,2026-06-24T06:00,5,5,0.6,0.8,3.0,0.264,0.033,0.0,3
105,2026-06-24T10:00,2026-06-24T10:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,13
106,2026-06-25T00:00,2026-06-25T05:00,6,6,0.817,1.5,4.9,0.571,0.267,0.0,115
107,2026-06-30T01:00,2026-06-30T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,40
108,2026-07-01T18:00,2026-07-01T21:00,4,4,1.025,1.8,4.1,0.644,0.0,0.072,15
109,2026-07-02T13:00,2026-07-02T13:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,15
110,2026-07-03T05:00,2026-07-03T08:00,4,3,0.375,0.5,1.5,0.505,0.375,0.0,70
111,2026-07-06T07:00,2026-07-06T08:00,2,2,1.2,1.5,2.4,0.354,0.667,0.1225,18
112,2026-07-07T03:00,2026-07-07T06:00,4,3,0.725,1.4,2.9,0.882,0.544,0.0725,73
113,2026-07-10T08:00,2026-07-10T09:00,2,2,0.8,1.1,1.6,0.53,0.473,0.025,23
114,2026-07-11T09:00,2026-07-11T09:00,1,1,1.1,1.1,1.1,0.0,0.727,0.025,11
115,2026-07-11T21:00,2026-07-11T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
116,2026-07-12T09:00,2026-07-12T09:00,1,1,1.1,1.1,1.1,0.0,0.636,0.0188,71
117,2026-07-15T09:00,2026-07-15T11:00,3,3,0.467,0.6,1.4,0.327,0.056,0.0,9
118,2026-07-15T21:00,2026-07-15T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
119,2026-07-16T01:00,2026-07-16T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,6
120,2026-07-16T08:00,2026-07-16T08:00,1,1,2.4,2.4,2.4,0.0,0.375,0.35,17
121,2026-07-17T02:00,2026-07-17T04:00,3,3,2.833,4.9,8.5,0.633,0.607,0.078,224
